Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Hypomyces lactifluorum,(Schwein.) Tul. & C. Tul.,,lobster mushroom,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,,,Hypocreales,,,Hypocreaceae,,,Hypomyces,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-08-04,Graham Barber,http://inaturalist.ca/observations/3826875,,48215,FUN
Inocybe geophylla,(Bull.) P. Kumm.,,white fiber head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Inocybaceae,,,Inocybe,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-03,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4491084,,118336,FUN
Inocybe lilacina,,,lilac fibrecap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Inocybaceae,,,Inocybe,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-11-02,Lauren Magner,https://www.inaturalist.org/observations/18050366,,118330,FUN
Irpex lacteus,(Fr.) Fr.,,milk-white toothed polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,Irpex,,,confirmed,observed,2013-05-04,Kent Brothers,VMS,,,2021-04-15,catiemac,https://www.inaturalist.org/observations/75546110,,130910,FUN
Jahnoporus hirtus,(Cooke) Nuss,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Albatrellaceae,,,Jahnoporus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-12-07,Richard Ward,https://www.inaturalist.org/observations/36452902,,118058,FUN
Laccaria amethysteo-occidentalis,G.M. Muell.,,western amethyst laccaria,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Hydnangiaceae,,,Laccaria,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4210107,,54893,FUN
Laccaria laccata,(Scop.) Cooke,,deceiver,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Hydnangiaceae,,,Laccaria,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22063,,2015-03-21,Lauren Magner & Andrew Simon,http://inaturalist.ca/observations/2605345,,63236,FUN
Lacrymaria lacrymabunda,(Bull.) Pat.,,weeping widow,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,Lacrymaria,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2015-09-27,Andrew Simon,http://www.inaturalist.org/observations/2632634,,130934,FUN
Lactarius deliciosus,(L.) Gray,,saffron milkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Lactarius,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4209884,,155197,FUN
Lactarius rubrilacteus,Hesler & A.H. Sm.,,red-bleeding milk cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Lactarius,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-22,Adam Huggins,https://www.inaturalist.org/observations/17906015,,118226,FUN
Laetiporus conifericola,,,conifer chicken of the woods,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,Laetiporus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-07-10,Sarah Tweedale,http://www.inaturalist.org/observations/3653800,"Laetiporus sulphureus is previously reported by Rene Zich, however that species is limited to eastern North America",118057,FUN
Leccinum manzanitae,Thiers,,manzanita boletus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Boletaceae,,,Leccinum,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-11-02,Larissa Marie,https://www.inaturalist.org/observations/18059091,,54204,FUN
Lepiota magnispora,Murrill,,shaggy-stalked parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Lepiota,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4208526,,194663,FUN
Lepista nuda,(Bull.) Cooke,,blewit,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Lepista,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-12-08,Richard Ward,https://www.inaturalist.org/observations/36490507,reported as Clitocybe nuda,351380,FUN
Leucoagaricus leucothites,,,white dapperling,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Leucoagaricus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2020-10-07,Phil Doty ,https://www.inaturalist.org/observations/62165613,reported as Leucoagaricus naucinus,351391,FUN
Leucopaxillus giganteus,(Sowerby) Quél.,,giant clitocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Leucopaxillus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-10-31,Sarah Tweedale,https://www.inaturalist.org/observations/17994296,,366270,FUN
Lycoperdon perlatum,,,common puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Lycoperdaceae,,,Lycoperdon,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4210339,,48443,FUN
Lyophyllum decastes,(Fr.) Singer,,fried chicken mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Lyophyllaceae,,,Lyophyllum,,,confirmed,observed,2011-10,Kent Brothers,VMS,,,2018-11-06,Kevin Toomer,https://www.inaturalist.org/observations/18316670,,118243,FUN
Marasmiellus candidus,(Bolton) Singer,,white mirasmius,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Omphalotaceae,,,Marasmiellus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-03,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4491056,,118242,FUN
Marasmius oreades,,,fairy ring mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Marasmiaceae,,,Marasmius,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-05-24,demetrick,https://www.inaturalist.org/observations/69155836,,118240,FUN
Marasmius plicatulus,,,red pinwheel,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Marasmiaceae,,,Marasmius,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-05,Andrew Simon,http://www.inaturalist.org/observations/4503939,,55291,FUN
Morchella elata,Fr.,,black morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,Morchella,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-03-22,Tyson Ehlers,https://www.inaturalist.org/observations/8920427,,120172,FUN
Morchella snyderi,M. Kuo & Methven,,Snyder’s morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,Morchella,,,confirmed,observed,2017-05-06,Kent Brothers,VMS,,,2016-03-11,Andrew Simon,http://www.inaturalist.org/observations/2771108,,473933,FUN
Muscinupta laevis,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Hygrophorineae,,Hygrophoraceae,,,Muscinupta,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-12-06,Kevin Toomer,https://www.inaturalist.org/observations/9069061,reported as Muscinupta laevis,1135326,FUN
Mycena galericulata,,,common bonnet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Mycenaceae,,,Mycena,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-01-29,Tyrel Froese,https://www.inaturalist.org/observations/5024268,,63446,FUN
Mycena pura,(Pers.) P. Kumm,,pink mycena,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Mycenaceae,,,Mycena,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22071,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4210003,,63473,FUN
Nidula candida,,,bird’s nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Nidulariaceae,,,Nidula,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-01-28,Andrew Simon,https://www.inaturalist.org/observations/5020679,,120036,FUN
Nidula niveotomentosa,,,bird’s nest fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Nidulariaceae,,,Nidula,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2589219,,118138,FUN
Otidea alutacea,(Pers.) Fuckel,,donkey ears,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Otideaceae,,,Otidea,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2021-10-20,Caitlin Robinson,https://www.inaturalist.org/observations/98854664,,118009,FUN
Peziza repanda grp.,Pers.,,palomino cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pezizaceae,,,Peziza,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-02-01,Dave and Virginia Ages,https://www.inaturalist.org/observations/5815627,,118008,FUN
Phaeolus schweinitzii,(Fr.) Pat.,,dyer’s polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,Phaeolus,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2010-11-05,Ian Guthrie,http://www.inaturalist.org/observations/4208210,,118084,FUN
Phlebia radiata,Fr.,,wrinkled crust,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,Phlebia,,,confirmed,observed,2011-10-29,Kent Brothers,VMS,,,2017-11-03,Kevin Toomer,https://www.inaturalist.org/observations/8686905,,155122,FUN
Pholiota aurivella,,,golden pholiota,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-10-06,Larissa Marie,https://www.inaturalist.org/observations/34319737,,124705,FUN
Pholiota squarrosoides,,,sharp-scaly pholiota,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2021-10-15,caitlin135,https://www.inaturalist.org/observations/98319700,reported as Pholiota squarrosa,153445,FUN
Pholiota terrestris,,,ground pholiota,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Pholiota,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-10-29,Marty Moser,https://www.inaturalist.org/observations/8751927,,118266,FUN
Picipes badius,(Pers.) Zmitr. & Kovalenko,,bay polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Picipes,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-05-04,Emma Harrower,https://www.inaturalist.org/observations/24567481,reported as Polyporus badius,510852,FUN
Plectania melastoma,(Sowerby) Fuckel,,orange rim cups,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Sarcosomataceae,,,Plectania,,,confirmed,observed,2011-05-14,Vancouver Mycological Society,UBC,F22506,,2011-05-14,Emma Harrower,https://www.inaturalist.org/observations/78656869,,344501,FUN
Pleurocybella porrigens,(Pers.) Singer,,angel wings,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Marasmiaceae,,,Pleurocybella,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2020-10-14,demetrick,https://www.inaturalist.org/observations/68982223,,48509,FUN
Pleurotus dryinus,,,veiled oyster,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,Pleurotus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2020-10-21,ssilverman,https://www.inaturalist.org/observations/63214073,,334340,FUN
Pleurotus ostreatus,,,oyster mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,Pleurotus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2621489,,48494,FUN
Pleurotus pulmonarius,(Fr.) Quél.,,summer oyster,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,Pleurotus,,,confirmed,observed,2013-05,Kent Brothers,VMS,,,2017-05-27,Ayla Malcolm,https://www.inaturalist.org/observations/6611359,,136399,FUN
Pluteus cervinus,(Schäff.) P. Kumm.,,deer mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Pluteaceae,,,Pluteus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608954,,60782,FUN
Polyporus tuberaster,,,tuckahoe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Polyporus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2021-04-22,Adrian Levine,https://www.inaturalist.org/observations/74880903,,351927,FUN
Porodaedalea pini,(Brot.) Murrill,,pine conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,Porodaedalea,,,confirmed,observed,2013-05-04,Kent Brothers,VMS,,,2019-05-04,Geneviève Reynolds,https://www.inaturalist.org/observations/24683934,,118081,FUN
Psathyrella sp.,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,Psathyrella,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-08-14,Tyson Ehlers,https://www.inaturalist.org/observations/8910411,Psathyrella cf. incerta (P. candolleana group),67745,FUN
Pseudohydnum gelatinosum,(Scop.) P. Karst.,,jelly tooth,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,incertae sedis,,,Pseudohydnum,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2010-11-05,Ian Guthrie,http://www.inaturalist.org/observations/4209530,,54164,FUN
Pucciniastrum goeppertianum,(Kühn) Kleb.,,fir-blueberry rust,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,,,Pucciniastraceae,,,Pucciniastrum,,,confirmed,observed,2009-05-16,Kent Brothers,VMS,,,2018-07-08,Kevin Toomer,https://www.inaturalist.org/observations/14186806,,207609,FUN
Ramaria formosa,,,pink coral mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,Ramaria,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2018-12-02,Kevin Toomer,https://www.inaturalist.org/observations/19119886,,48770,FUN
Ramaria stricta,,,upright coral fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,Ramaria,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2017-10-29,Kevin Toomer,https://www.inaturalist.org/observations/8603124,,54228,FUN
Rhodofomes cajanderi,"(P. Karst.) B.K. Cui, M.L. Han & Y.C. Dai",,rosy conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,Rhodofomes,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2019-01-25,awworld',https://www.inaturalist.org/observations/19886000,reported as Fomitopsis cajanderi,764105,FUN
Rhytisma punctatum,(Pers.) Fr.,,maple tar spot,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Rhytismataceae,,,Rhytisma,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608970,,333838,FUN
Rickenella fibula,,,orange moss agaric,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Rickenellaceae,,,Rickenella,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-05-05,Geneviève Reynolds,https://www.inaturalist.org/observations/24690193,,118170,FUN
Russula brevipes,,,short-stemmed Russula,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4210338,,118179,FUN
Russula rosacea,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-11-20,Kevin Toomer,https://www.inaturalist.org/observations/8878470,,154869,FUN
Russula sororia,,,sepia brittlegill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-03,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4491096,European species; not certain to be present in NA,384195,FUN
Russula xerampelina,,,shellfish-scented Russula,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-07-06,Sarah Tweedale,http://inaturalist.ca/observations/3634729,,154875,FUN
Schizophyllum commune,Fr.,,split-gill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Schizophyllineae,,Schizophyllaceae,,,Schizophyllum,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-05-28,Ayla Malcolm,https://www.inaturalist.org/observations/6602015,,54573,FUN
Scutellinia scutellata,(L.) Lambotte,,eyelash fungus,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,Scutellinia,,,confirmed,observed,2013-05-04,Kent Brothers,VMS,,,2018-05-29,Pam Janszen,https://www.inaturalist.org/observations/24652331,"numerous species to be segregated within the Scutellinia scutellata complex; however, S. scutellata has been confirmed by Pam Janszen based on microscopy",49137,FUN
Spathularia flavida,Pers.,,fairy fan,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Cudoniaceae,,,Spathularia,,,confirmed,observed,2011-10-29,Kent Brothers,VMS,,,2018-10-28,Karen Harris,https://www.inaturalist.org/observations/17918365,,231270,FUN
Steccherinum ochraceum,(Pers.) Gray,,ochre spreading tooth,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Steccherinaceae,,,Steccherinum,,,confirmed,observed,2017-05,Kent Brothers,VMS,,,2017-02-16,Andrew Simon,https://www.inaturalist.org/observations/5121806,,118096,FUN
Stereum hirsutum,,,false turkey-tail,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,Stereum,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2015-03-21,Lauren Magner,http://www.inaturalist.org/observations/2608961,,55501,FUN
Strobilurus trullisatus,,,fir-cone mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Physalacriaceae,,,Strobilurus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-13,Graham Barber,http://inaturalist.ca/observations/4343571,,118192,FUN
Stropharia ambigua,(Peck) Zeller,,questionable stropharia,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Stropharia,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22070,,2016-03-24,Tyson Ehlers,https://www.inaturalist.org/observations/8944209,,53284,FUN
Suillus caerulescens,A.H. Sm. & Thiers,,Douglas-fir suillus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Suillaceae,,,Suillus,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-31,Christopher Heffley,https://www.inaturalist.org/observations/17991523,,63505,FUN
Suillus lakei,,,western painted Suillus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Suillaceae,,,Suillus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-21,Andrew Simon,https://www.inaturalist.org/observations/17730177,,118159,FUN
Tarzetta catinus,(Holmsk.) Korf & J.K. Rogers,,elf cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,Tarzetta,,,confirmed,observed,2017-05-06,Kent Brothers,VMS,,,2019-05-04,"Andrew Simon, Harvey Janszen and Pam Janszen",https://www.inaturalist.org/observations/24653178,,244489,FUN
Thelephora terrestris,Ehrh.,,earth fan,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Thelephoraceae,,,Thelephora,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-10-12,Andrew Simon,http://www.inaturalist.org/observations/4337456,,118102,FUN
Trametes hirsuta,(Wulfen) Lloyd,,hairy turkey-tail,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Trametes,,,confirmed,observed,2010-04,Kent Brothers,VMS,,,2020-10-14,Sylvie Hawkes,https://www.inaturalist.org/observations/62719455,,116695,FUN
Trametes versicolor,(L.) Lloyd,,turkey-tail,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Trametes,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2014-02-21,Ian Guthrie,http://www.inaturalist.org/observations/4171809,,54134,FUN
Tremella mesenterica,,,witch’s butter,Fungi,Basidiomycota,Agaricomycotina,,Tremellomycetes,,,Tremellales,,,Tremellaceae,,,Tremella,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2005-11-06,Ian Guthrie,http://www.inaturalist.org/observations/4209528,,48529,FUN
Trichoglossum hirsutum,(Pers.) Boud.,,black earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,,,Trichoglossum,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-01-14,Kevin Toomer,https://www.inaturalist.org/observations/19645080,"Possible misidentification (Kent Brothers, pers. comm 2018)",55240,FUN
Tubaria punicea,"(A.H.Sm. & Hesler) Ammirati, Matheny & P.-A.Moreau",,Christmas naucoria,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Tubariaceae,,,Tubaria,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2021-01-16,Christian Adler,https://www.inaturalist.org/observations/68199160,,120971,FUN
Turbinellus floccosus,(Schwein.) Earle,,scaly chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,Turbinellus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4209885,reported as Gomphus floccosus,417398,FUN
Verpa conica,(Müller) Swartz,,thimble morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,Verpa,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2015-02-21,Lauren Magner,http://inaturalist.ca/observations/2605609,,118002,FUN
Xeromphalina campanella,(Batsch) Maire,,orange fuzzyfoot,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pleurotineae,,Typhulaceae,,,Xeromphalina,,,confirmed,observed,2011-10-29,Kent Brothers,VMS,,,2020-10-20,Patrick Harrigan,https://www.inaturalist.org/observations/69904614,,56251,FUN
Xylaria hypoxylon,(L.) Gray,,candlesnuff fungus,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,,,Xylariales,,,Xylariaceae,,,Xylaria,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2010-11-05,Ian Guthrie,http://www.inaturalist.org/observations/4208511,,55267,FUN
Chlorociboria sp.,,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Chlorociboriaceae,,,Chlorociboria,,,new 2006,observed,,,,,,2006-05-23,Ian Guthrie,http://www.inaturalist.org/observations/4209529,,54595,FUN
Cudonia monticola,,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Cudoniaceae,,,Cudonia,,,new 2011,observed,2011-05-14,VMS,UBC,F22507,,2011-05-14,Emma Harrower ,https://www.inaturalist.org/observations/78650046,,217906,FUN
Cortinarius smithii,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Cortinariaceae,,,Cortinarius,,,new 2013,observed,,,,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4210102,,348842,FUN
