"Taxon","Matched.Taxon","Critical.Note"
"Torreyochloa pauciflora","Torreyochloa pallida var. pauciflora",""
"Trientalis arctica","Lysimachia europaea ssp. arctica",""
"Trientalis borealis ssp. latifolia","Lysimachia latifolia",""
"Trientalis latifolia","Lysimachia latifolia",""
"Trifolium glomerata","Trifolium glomeratum",""
"Trifolium oligathum","Trifolium oliganthum",""
"Trifolium procumbens","Trifolium campestre",""
"Trifolium variegatum geminiflorum","Trifolium variegatum","Need to review to see whether other infrataxa may be present; for now, ignoring infrataxa"
"Trifolium willdenowii","Trifolium willdenovii",""
"Triglochin concinnum","Triglochin concinna var. concinna",""
"Trisetum canescens","Graphephorum canescens",""
"Trisetum cernuum","Graphephorum cernuum",""
"Trisetum cernuum var. canescens","Graphephorum canescens",""
"Trisetum spicatum","Koeleria spicata",""
"U. vulgaris","Utricularia macrorhiza",""
"Urtica dioica","Urtica gracilis ssp. gracilis",""
"Urtica gracilis","Urtica gracilis ssp. gracilis",""
"Urtica gracilis gracilis","Urtica gracilis ssp. gracilis",""
"Utricularia vulgaris","Utricularia macrorhiza",""
"V. beccabunga ssp. americana","Veronica americana",""
"V. filiformis","Veronica filiformis",""
"V. minor","Vinca minor",""
"V. myuros","Festuca myuros",""
"V. pallens","Viola palustris",""
"V. palustris","Viola palustris",""
"V. parvifolium","Vaccinium parvifolium",""
"V. peregrina","Veronica peregrina var. peregrina",""
"V. persica","Veronica persica",""
"V. phlomoides","Verbascum phlomoides",""
"V. scutellata","Veronica scutellata",""
"V. sempervirens","Viola sempervirens",""
"V. serpyllifolia","Veronica serpyllifolia",""
"Vaccinium oxycoccus","Vaccinium oxycoccos",""
"Vaccinum ovatum","Vaccinium ovatum",""
"Veronica beccabunga","Veronica americana",""
"Veronica beccabunga ssp. americana","Veronica americana",""
"Veronica peregrina","Veronica peregrina var. peregrina",""
"Veronica peregrina peregrina","Veronica peregrina var. peregrina",""
"Veronica peregrina xalapensis","Veronica peregrina var. xalapensis",""
"Veronica serpyllifolia serpyllifolia","Veronica serpyllifolia",""
"Vicia giganta","Vicia gigantea",""
"Vicia gigantea","Vicia nigricans var. gigantea",""
"Vicia nigricans gigantea","Vicia nigricans var. gigantea",""
"Vicia villosa","Vicia villosa var. villosa",""
"Vicia villosa villosa","Vicia villosa var. villosa",""
"Viola macloskeyi","Viola minuscula",""
"Vulpia bromoides","Festuca bromoides",""
"Vulpia microstachys","Festuca microstachys var. pauciflora",""
"Vulpia microstachys var. pauciflora","Festuca microstachys var. pauciflora",""
"Yabaea microcarpa","Yabea microcarpa",""
"Zigadenus venenosus","Toxicoscordion venenosum",""
"Zygadenus venenosus","Toxicoscordion venenosum",""
"Corallorhiza maculata","",""
"Crataegus sp","",""
"Pyrola sp","",""
"Sedum cf spathulifolium","",""
"Agoseris sp","",""
"Allium sp","",""
"Corallorhiza cf maculata","",""
"Piperia sp","",""
