"report_group","classification_rank","classification_value","friendly_name","display_label"
"SLIME MOLDS","family","Trichiaceae","hair-cap slime molds","hair-cap slime molds (Trichiaceae)"
"TERRESTRIAL INVERTS","class","Arachnida","arachnids","arachnids (Arachnida)"
"TERRESTRIAL INVERTS","class","Bivalvia","bivalves","bivalves (Bivalvia)"
"TERRESTRIAL INVERTS","class","Chilopoda","centipedes","centipedes (Chilopoda)"
"TERRESTRIAL INVERTS","class","Clitellata","clitellates","clitellates (Clitellata)"
"TERRESTRIAL INVERTS","class","Diplopoda","millipedes","millipedes (Diplopoda)"
"TERRESTRIAL INVERTS","class","Entognatha","springtails and allies","springtails and allies (Entognatha)"
"TERRESTRIAL INVERTS","class","Gastropoda","snails and slugs","snails and slugs (Gastropoda)"
"TERRESTRIAL INVERTS","class","Insecta","insects","insects (Insecta)"
"TERRESTRIAL INVERTS","class","Malacostraca","malacostracans","malacostracans (Malacostraca)"
"TERRESTRIAL INVERTS","order","Araneae","spiders","spiders (Araneae)"
"TERRESTRIAL INVERTS","order","Archaeognatha","jumping bristletails","jumping bristletails (Archaeognatha)"
"TERRESTRIAL INVERTS","order","Blattodea","cockroaches and termites","cockroaches and termites (Blattodea)"
"TERRESTRIAL INVERTS","order","Chordeumatida","millipedes","millipedes (Chordeumatida)"
"TERRESTRIAL INVERTS","order","Coleoptera","beetles","beetles (Coleoptera)"
"TERRESTRIAL INVERTS","order","Crassiclitellata","earthworms and allies","earthworms and allies (Crassiclitellata)"
"TERRESTRIAL INVERTS","order","Dermaptera","earwigs","earwigs (Dermaptera)"
"TERRESTRIAL INVERTS","order","Diptera","flies","flies (Diptera)"
"TERRESTRIAL INVERTS","order","Ellobiida","air-breathing snails","air-breathing snails (Ellobiida)"
"TERRESTRIAL INVERTS","order","Entomobryomorpha","springtails","springtails (Entomobryomorpha)"
"TERRESTRIAL INVERTS","order","Ephemeroptera","mayflies","mayflies (Ephemeroptera)"
"TERRESTRIAL INVERTS","order","Hemiptera","true bugs","true bugs (Hemiptera)"
"TERRESTRIAL INVERTS","order","Hymenoptera","bees, wasps, ants, and sawflies","bees, wasps, ants, and sawflies (Hymenoptera)"
"TERRESTRIAL INVERTS","order","Isopoda","woodlice and allies","woodlice and allies (Isopoda)"
"TERRESTRIAL INVERTS","order","Ixodida","ticks","ticks (Ixodida)"
"TERRESTRIAL INVERTS","order","Julida","millipedes","millipedes (Julida)"
"TERRESTRIAL INVERTS","order","Lepidoptera","butterflies and moths","butterflies and moths (Lepidoptera)"
"TERRESTRIAL INVERTS","order","Mecoptera","scorpionflies","scorpionflies (Mecoptera)"
"TERRESTRIAL INVERTS","order","Megaloptera","alderflies, dobsonflies, and fishflies","alderflies, dobsonflies, and fishflies (Megaloptera)"
"TERRESTRIAL INVERTS","order","Mesostigmata","mesostigmatid mites","mesostigmatid mites (Mesostigmata)"
"TERRESTRIAL INVERTS","order","Neuroptera","lacewings and allies","lacewings and allies (Neuroptera)"
"TERRESTRIAL INVERTS","order","Notoptera","ice crawlers and rock crawlers","ice crawlers and rock crawlers (Notoptera)"
"TERRESTRIAL INVERTS","order","Odonata","dragonflies and damselflies","dragonflies and damselflies (Odonata)"
"TERRESTRIAL INVERTS","order","Opiliones","harvestmen","harvestmen (Opiliones)"
"TERRESTRIAL INVERTS","order","Orthoptera","grasshoppers, crickets, and katydids","grasshoppers, crickets, and katydids (Orthoptera)"
"TERRESTRIAL INVERTS","order","Plecoptera","stoneflies","stoneflies (Plecoptera)"
"TERRESTRIAL INVERTS","order","Poduromorpha","springtails","springtails (Poduromorpha)"
"TERRESTRIAL INVERTS","order","Polydesmida","flat-backed millipedes","flat-backed millipedes (Polydesmida)"
"TERRESTRIAL INVERTS","order","Psocodea","barklice, booklice, and parasitic lice","barklice, booklice, and parasitic lice (Psocodea)"
"TERRESTRIAL INVERTS","order","Sarcoptiformes","oribatid and astigmatid mites","oribatid and astigmatid mites (Sarcoptiformes)"
"TERRESTRIAL INVERTS","order","Scolopendromorpha","large centipedes","large centipedes (Scolopendromorpha)"
"TERRESTRIAL INVERTS","order","Siphonaptera","fleas","fleas (Siphonaptera)"
"TERRESTRIAL INVERTS","order","Sphaeriida","pea clams","pea clams (Sphaeriida)"
"TERRESTRIAL INVERTS","order","Stylommatophora","land snails and slugs","land snails and slugs (Stylommatophora)"
"TERRESTRIAL INVERTS","order","Symphypleona","globular springtails","globular springtails (Symphypleona)"
"TERRESTRIAL INVERTS","order","Trichoptera","caddisflies","caddisflies (Trichoptera)"
"TERRESTRIAL INVERTS","order","Trochida","top snails and allies","top snails and allies (Trochida)"
"TERRESTRIAL INVERTS","order","Trombidiformes","prostigmatid mites","prostigmatid mites (Trombidiformes)"
"TERRESTRIAL INVERTS","order","Zygentoma","silverfish and firebrats","silverfish and firebrats (Zygentoma)"
"TERRESTRIAL MAMMALS","order","Artiodactyla","even-toed ungulates","even-toed ungulates (Artiodactyla)"
"TERRESTRIAL MAMMALS","order","Carnivora","carnivorans","carnivorans (Carnivora)"
"TERRESTRIAL MAMMALS","order","Chiroptera","bats","bats (Chiroptera)"
"TERRESTRIAL MAMMALS","order","Didelphimorphia","opossums","opossums (Didelphimorphia)"
"TERRESTRIAL MAMMALS","order","Eulipotyphla","shrews, moles, and hedgehog allies","shrews, moles, and hedgehog allies (Eulipotyphla)"
"TERRESTRIAL MAMMALS","order","Lagomorpha","hares, rabbits, and pikas","hares, rabbits, and pikas (Lagomorpha)"
"TERRESTRIAL MAMMALS","order","Rodentia","rodents","rodents (Rodentia)"
"VASCULAR PLANTS","family","Alismataceae","water-plantains","water-plantains (Alismataceae)"
"VASCULAR PLANTS","family","Amaranthaceae","amaranths","amaranths (Amaranthaceae)"
"VASCULAR PLANTS","family","Amaryllidaceae","amaryllis family","amaryllis family (Amaryllidaceae)"
"VASCULAR PLANTS","family","Anacardiaceae","sumac family","sumac family (Anacardiaceae)"
"VASCULAR PLANTS","family","Apiaceae","carrot family","carrot family (Apiaceae)"
"VASCULAR PLANTS","family","Apocynaceae","dogbane family","dogbane family (Apocynaceae)"
"VASCULAR PLANTS","family","Aquifoliaceae","holly family","holly family (Aquifoliaceae)"
"VASCULAR PLANTS","family","Araceae","arum family","arum family (Araceae)"
"VASCULAR PLANTS","family","Araliaceae","ginseng family","ginseng family (Araliaceae)"
"VASCULAR PLANTS","family","Aristolochiaceae","birthwort family","birthwort family (Aristolochiaceae)"
"VASCULAR PLANTS","family","Asparagaceae","asparagus family","asparagus family (Asparagaceae)"
"VASCULAR PLANTS","family","Aspleniaceae","spleenwort family","spleenwort family (Aspleniaceae)"
"VASCULAR PLANTS","family","Asteraceae","aster family","aster family (Asteraceae)"
"VASCULAR PLANTS","family","Athyriaceae","lady-fern family","lady-fern family (Athyriaceae)"
"VASCULAR PLANTS","family","Balsaminaceae","touch-me-not family","touch-me-not family (Balsaminaceae)"
"VASCULAR PLANTS","family","Berberidaceae","barberry family","barberry family (Berberidaceae)"
"VASCULAR PLANTS","family","Betulaceae","birch family","birch family (Betulaceae)"
"VASCULAR PLANTS","family","Blechnaceae","hard-fern family","hard-fern family (Blechnaceae)"
"VASCULAR PLANTS","family","Boraginaceae","borage family","borage family (Boraginaceae)"
"VASCULAR PLANTS","family","Brassicaceae","mustard family","mustard family (Brassicaceae)"
"VASCULAR PLANTS","family","Cabombaceae","water-shield family","water-shield family (Cabombaceae)"
"VASCULAR PLANTS","family","Campanulaceae","bellflower family","bellflower family (Campanulaceae)"
"VASCULAR PLANTS","family","Cannabaceae","hemp family","hemp family (Cannabaceae)"
"VASCULAR PLANTS","family","Caprifoliaceae","honeysuckle family","honeysuckle family (Caprifoliaceae)"
"VASCULAR PLANTS","family","Caryophyllaceae","pink family","pink family (Caryophyllaceae)"
"VASCULAR PLANTS","family","Celastraceae","staff-vine family","staff-vine family (Celastraceae)"
"VASCULAR PLANTS","family","Convolvulaceae","morning-glory family","morning-glory family (Convolvulaceae)"
"VASCULAR PLANTS","family","Cornaceae","dogwood family","dogwood family (Cornaceae)"
"VASCULAR PLANTS","family","Crassulaceae","stonecrop family","stonecrop family (Crassulaceae)"
"VASCULAR PLANTS","family","Cupressaceae","cypress family","cypress family (Cupressaceae)"
"VASCULAR PLANTS","family","Cyperaceae","sedge family","sedge family (Cyperaceae)"
"VASCULAR PLANTS","family","Cystopteridaceae","bladder-fern family","bladder-fern family (Cystopteridaceae)"
"VASCULAR PLANTS","family","Dennstaedtiaceae","bracken family","bracken family (Dennstaedtiaceae)"
"VASCULAR PLANTS","family","Droseraceae","sundew family","sundew family (Droseraceae)"
"VASCULAR PLANTS","family","Dryopteridaceae","wood-fern family","wood-fern family (Dryopteridaceae)"
"VASCULAR PLANTS","family","Elaeagnaceae","oleaster family","oleaster family (Elaeagnaceae)"
"VASCULAR PLANTS","family","Equisetaceae","horsetail family","horsetail family (Equisetaceae)"
"VASCULAR PLANTS","family","Ericaceae","heath family","heath family (Ericaceae)"
"VASCULAR PLANTS","family","Euphorbiaceae","spurge family","spurge family (Euphorbiaceae)"
"VASCULAR PLANTS","family","Fabaceae","pea family","pea family (Fabaceae)"
"VASCULAR PLANTS","family","Fagaceae","beech family","beech family (Fagaceae)"
"VASCULAR PLANTS","family","Gentianaceae","gentian family","gentian family (Gentianaceae)"
"VASCULAR PLANTS","family","Geraniaceae","geranium family","geranium family (Geraniaceae)"
"VASCULAR PLANTS","family","Grossulariaceae","currant family","currant family (Grossulariaceae)"
"VASCULAR PLANTS","family","Haloragaceae","water-milfoil family","water-milfoil family (Haloragaceae)"
"VASCULAR PLANTS","family","Hydrangeaceae","hydrangea family","hydrangea family (Hydrangeaceae)"
"VASCULAR PLANTS","family","Hypericaceae","St. John's-wort family","St. John's-wort family (Hypericaceae)"
"VASCULAR PLANTS","family","Iridaceae","iris family","iris family (Iridaceae)"
"VASCULAR PLANTS","family","Isoetaceae","quillwort family","quillwort family (Isoetaceae)"
"VASCULAR PLANTS","family","Juglandaceae","walnut family","walnut family (Juglandaceae)"
"VASCULAR PLANTS","family","Juncaceae","rush family","rush family (Juncaceae)"
"VASCULAR PLANTS","family","Juncaginaceae","arrow-grass family","arrow-grass family (Juncaginaceae)"
"VASCULAR PLANTS","family","Lamiaceae","mint family","mint family (Lamiaceae)"
"VASCULAR PLANTS","family","Lentibulariaceae","bladderwort family","bladderwort family (Lentibulariaceae)"
"VASCULAR PLANTS","family","Liliaceae","lily family","lily family (Liliaceae)"
"VASCULAR PLANTS","family","Linaceae","flax family","flax family (Linaceae)"
"VASCULAR PLANTS","family","Lycopodiaceae","clubmoss family","clubmoss family (Lycopodiaceae)"
"VASCULAR PLANTS","family","Lythraceae","loosestrife family","loosestrife family (Lythraceae)"
"VASCULAR PLANTS","family","Malvaceae","mallow family","mallow family (Malvaceae)"
"VASCULAR PLANTS","family","Melanthiaceae","bunchflower family","bunchflower family (Melanthiaceae)"
"VASCULAR PLANTS","family","Menyanthaceae","bogbean family","bogbean family (Menyanthaceae)"
"VASCULAR PLANTS","family","Montiaceae","miner's-lettuce family","miner's-lettuce family (Montiaceae)"
"VASCULAR PLANTS","family","Myricaceae","bayberry family","bayberry family (Myricaceae)"
"VASCULAR PLANTS","family","Nymphaeaceae","water-lily family","water-lily family (Nymphaeaceae)"
"VASCULAR PLANTS","family","Oleaceae","olive family","olive family (Oleaceae)"
"VASCULAR PLANTS","family","Onagraceae","evening-primrose family","evening-primrose family (Onagraceae)"
"VASCULAR PLANTS","family","Ophioglossaceae","adder's-tongue family","adder's-tongue family (Ophioglossaceae)"
"VASCULAR PLANTS","family","Orchidaceae","orchid family","orchid family (Orchidaceae)"
"VASCULAR PLANTS","family","Orobanchaceae","broomrape family","broomrape family (Orobanchaceae)"
"VASCULAR PLANTS","family","Oxalidaceae","wood-sorrel family","wood-sorrel family (Oxalidaceae)"
"VASCULAR PLANTS","family","Papaveraceae","poppy family","poppy family (Papaveraceae)"
"VASCULAR PLANTS","family","Phrymaceae","lopseed family","lopseed family (Phrymaceae)"
"VASCULAR PLANTS","family","Pinaceae","pine family","pine family (Pinaceae)"
"VASCULAR PLANTS","family","Plantaginaceae","plantain family","plantain family (Plantaginaceae)"
"VASCULAR PLANTS","family","Poaceae","grass family","grass family (Poaceae)"
"VASCULAR PLANTS","family","Polemoniaceae","phlox family","phlox family (Polemoniaceae)"
"VASCULAR PLANTS","family","Polygonaceae","knotweed family","knotweed family (Polygonaceae)"
"VASCULAR PLANTS","family","Polypodiaceae","polypody family","polypody family (Polypodiaceae)"
"VASCULAR PLANTS","family","Portulacaceae","purslane family","purslane family (Portulacaceae)"
"VASCULAR PLANTS","family","Potamogetonaceae","pondweed family","pondweed family (Potamogetonaceae)"
"VASCULAR PLANTS","family","Primulaceae","primrose family","primrose family (Primulaceae)"
"VASCULAR PLANTS","family","Pteridaceae","brake family","brake family (Pteridaceae)"
"VASCULAR PLANTS","family","Ranunculaceae","buttercup family","buttercup family (Ranunculaceae)"
"VASCULAR PLANTS","family","Rhamnaceae","buckthorn family","buckthorn family (Rhamnaceae)"
"VASCULAR PLANTS","family","Rosaceae","rose family","rose family (Rosaceae)"
"VASCULAR PLANTS","family","Rubiaceae","madder family","madder family (Rubiaceae)"
"VASCULAR PLANTS","family","Ruppiaceae","ditch-grass family","ditch-grass family (Ruppiaceae)"
"VASCULAR PLANTS","family","Salicaceae","willow family","willow family (Salicaceae)"
"VASCULAR PLANTS","family","Santalaceae","sandalwood family","sandalwood family (Santalaceae)"
"VASCULAR PLANTS","family","Sapindaceae","soapberry family","soapberry family (Sapindaceae)"
"VASCULAR PLANTS","family","Saxifragaceae","saxifrage family","saxifrage family (Saxifragaceae)"
"VASCULAR PLANTS","family","Scheuchzeriaceae","Scheuchzeria family","Scheuchzeria family (Scheuchzeriaceae)"
"VASCULAR PLANTS","family","Scrophulariaceae","figwort family","figwort family (Scrophulariaceae)"
"VASCULAR PLANTS","family","Selaginellaceae","spikemoss family","spikemoss family (Selaginellaceae)"
"VASCULAR PLANTS","family","Simaroubaceae","quassia family","quassia family (Simaroubaceae)"
"VASCULAR PLANTS","family","Solanaceae","nightshade family","nightshade family (Solanaceae)"
"VASCULAR PLANTS","family","Taxaceae","yew family","yew family (Taxaceae)"
"VASCULAR PLANTS","family","Thelypteridaceae","marsh-fern family","marsh-fern family (Thelypteridaceae)"
"VASCULAR PLANTS","family","Thymelaeaceae","mezereum family","mezereum family (Thymelaeaceae)"
"VASCULAR PLANTS","family","Tofieldiaceae","false asphodel family","false asphodel family (Tofieldiaceae)"
"VASCULAR PLANTS","family","Typhaceae","cattail family","cattail family (Typhaceae)"
"VASCULAR PLANTS","family","Urticaceae","nettle family","nettle family (Urticaceae)"
"VASCULAR PLANTS","family","Viburnaceae","viburnum family","viburnum family (Viburnaceae)"
"VASCULAR PLANTS","family","Violaceae","violet family","violet family (Violaceae)"
"VASCULAR PLANTS","family","Vitaceae","grape family","grape family (Vitaceae)"
"VASCULAR PLANTS","family","Woodsiaceae","cliff-fern family","cliff-fern family (Woodsiaceae)"
"VASCULAR PLANTS","family","Zosteraceae","eelgrass family","eelgrass family (Zosteraceae)"
