"","scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","hybrid","subspecies","variety","form","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"48","Castilleja hispida var. hispida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","109340347",NA,"https://www.inaturalist.org/observations/109340347","Steve Ansell","",NA,"2005-07-10",2005,7,10,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.486967,-123.199507,25,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Steve Ansell",NA,NA,NA,NA,NA
"49","Castilleja miniata var. miniata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"miniata","VARIETY","RBCM","V","V008156",NA,"RBCM:Botany:V008156","George Hardy","s.n.",NA,"1926-07-31",1926,7,31,"PRESERVED_SPECIMEN","",NA,NA,"British Columbia","Canada","CA",49.966667,-123.05,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Mark Egger",NA,NA,NA,NA,NA
"50","Ceanothus velutinus var. velutinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"velutinus","VARIETY","RBCM","V","V110936",NA,"RBCM:Botany:V110936","Brenda Storey","BS-78-24",NA,"1978-06-07",1978,6,7,"PRESERVED_SPECIMEN","Pillchuck Creek: on Pillchuck Creek Road",NA,NA,"British Columbia","Canada","CA",49.916667,-123.216667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Kendrick Marr",NA,NA,NA,NA,NA
"51","Celastrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","University of Lethbridge","LEA","",NA,"2972","Pat Warrington","",NA,"1967-06-24",1967,6,24,"PRESERVED_SPECIMEN","The Barrier, Garibaldi Park, N. W.",NA,NA,"British Columbia","Canada","CA",49.949444,-123.092222,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"52","Cerastium holosteoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vulgare","SUBSPECIES","ca.ubc","UBCVascular","V43642",NA,"488BA77F-40FD-264B-A2DD-53935268E037","R. Mathews","s.n.",NA,"1913-05-26",1913,5,26,"PRESERVED_SPECIMEN","Gibson Heights",NA,NA,"British Columbia","Canada","CA",49.3999999990681,-123.5,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Richard K. Rabeler",NA,NA,NA,NA,NA
"53","Chaenomeles speciosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","78848820",NA,"https://www.inaturalist.org/observations/78848820","Roslyn","",NA,"2021-05-08",2021,5,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.714363,-123.159276,31,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"dougbrown",NA,NA,NA,NA,NA
"54","Chamaenerion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","University of Lethbridge","LEA","",NA,"1697","P. Warrington","21",NA,"1967-06-10",1967,6,10,"PRESERVED_SPECIMEN","Squamish R., n.&w. into Indian Reserve from Cheakamus R. Bridge",NA,NA,"British Columbia","Canada","CA",49.738889,-123.208333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"55","Chelidonium majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","",NA,"q-10600577555","","",NA,"2022-05-26T18",2022,5,26,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",49.391985,-123.526466,5,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"56","Chenopodium album",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CPNWH","","2484834",NA,"7e04f438-cd14-44ca-9948-e49266058a7e","Kendrick L. Marr","V197403X",NA,"2007-06-27",2007,6,27,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",49.4175,-123.388611,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"57","Circaea alpina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V45464",NA,"AE01DD68-5A47-0346-B6E4-E27DC59F7FF9","John Davidson","s.n.",NA,"1912-08-05",1912,8,5,"PRESERVED_SPECIMEN","Brackendale (P.G.E)",NA,NA,"British Columbia","Canada","CA",49.766667,-123.133333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John Davidson",NA,NA,NA,NA,NA
"58","Comarum palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","28534846",NA,"https://www.inaturalist.org/observations/28534846","Ben Keen","",NA,"2019-07-09",2019,7,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.388428,-123.354988,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"wojciech",NA,NA,NA,NA,NA
"59","Cornus canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","USCH","MAIN","",NA,"5e04e55c-ff6d-11e2-9beb-001c23ce290f","Straley, Gerald","8652",NA,"1995-07-16",1995,7,16,"PRESERVED_SPECIMEN","West Vancouver",NA,NA,"British Columbia","Canada","CA",49.393472,-123.201889,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Straley, Gerald",NA,NA,NA,NA,NA
"60","Cornus sanguinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","E","E","20160575",NA,"http://data.rbge.org.uk/living/20160575","Edinburgh, Howick Expedition to British Columbia (EHBC)","11",NA,"2016-08-25",2016,8,25,"LIVING_SPECIMEN","Track through forest from forest service road to Dakota Bog, Mt Elphinstone",NA,NA,"British Columbia","Canada","CA",49.483972,-123.552622,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"61","Corydalis scouleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","E","E","20000154",NA,"http://data.rbge.org.uk/living/20000154","","",NA,"",NA,NA,NA,"LIVING_SPECIMEN","Deep Cover, North Vancouver",NA,NA,"British Columbia","Canada","CA",49.833333,-122.95,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"62","Corylus avellana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","104946020",NA,"https://www.inaturalist.org/observations/104946020","John D Reynolds","",NA,"2022-01-14",2022,1,14,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.557213,-123.236868,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Barbara L. Wilson",NA,NA,NA,NA,NA
"63","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","140712063",NA,"https://www.inaturalist.org/observations/140712063","dwoc697","",NA,"2022-10-08",2022,10,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.408488,-123.513908,9,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"oxalismtp",NA,NA,NA,NA,NA
"64","Cotoneaster bullatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","8944759",NA,"https://www.inaturalist.org/observations/8944759","Vanessa","",NA,"2016-09-07",2016,9,7,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.688539,-123.164392,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Vanessa",NA,NA,NA,NA,NA
"65","Cotoneaster hjelmqvistii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","UWBM","Plants","173714",NA,"","P. F. Zika","",NA,"2007-11-13",2007,11,13,"PRESERVED_SPECIMEN","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.",NA,NA,"British Columbia","Canada","CA",49.351667,-123.251667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"J. Fryer",NA,NA,NA,NA,NA
"66","Cotoneaster integrifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","UWBM","Plants","175583",NA,"","Peter F. Zika","",NA,"2006-06-14",2006,6,14,"PRESERVED_SPECIMEN","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.",NA,NA,"British Columbia","Canada","CA",49.36,-123.273333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"J. Fryer",NA,NA,NA,NA,NA
"67","Dasiphora fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V32950",NA,"392C9FA3-DC43-E04F-B774-D176F86CDAAA","F. Perry","s.n.",NA,"1916-08-01",1916,8,NA,"PRESERVED_SPECIMEN","Garibaldi",NA,NA,"British Columbia","Canada","CA",49.9663768867129,-123.151015762854,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"F. Perry",NA,NA,NA,NA,NA
"68","Diphasiastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","ca.ubc","UBCVascular","V27343",NA,"B54E6DFE-3EEE-6043-B524-AD805E969B8D","W. Cottle","368",NA,"1951-08-04",1951,8,4,"PRESERVED_SPECIMEN","Black Tusk Meadows, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"J.M. Beitel (1980), Christopher J. Sears (2007)",NA,NA,NA,NA,NA
"69","Draba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","CMN","CAN","CAN 255057",NA,"67459052-c0a7-0a74-209c-e63c2ea17c52","Hardy, G.A.","8028",NA,"1926-07-31",1926,7,31,"PRESERVED_SPECIMEN","Black Tusk Slope Garibaldi.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.9667,-123.05,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"70","Dryas drummondii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","129987013",NA,"https://www.inaturalist.org/observations/129987013","b_roskilly","",NA,"2022-08-05",2022,8,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.904236,-122.99624,119,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"b_roskilly",NA,NA,NA,NA,NA
"71","Dryas drummondii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","130036808",NA,"https://www.inaturalist.org/observations/130036808","Nina Hewitt","",NA,"2022-08-05",2022,8,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.905031,-122.997932,20,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Nina Hewitt",NA,NA,NA,NA,NA
"72","Dryopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","ca.ubc","UBCVascular","V116798",NA,"211ABDA4-4202-0D4B-987F-D69AC9232B54","Thomas M.C. Taylor, F. Lang","3230",NA,"1963-05-17",1963,5,17,"PRESERVED_SPECIMEN","Squamish, Cheekeye, about 11 km north along the river road",NA,NA,"British Columbia","Canada","CA",49.8,-123.15,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Christopher J. Sears 2008",NA,NA,NA,NA,NA
"73","Eleocharis mamillata ssp. mamillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mamillata","SUBSPECIES","ca.ubc","UBCVascular","V251379",NA,"4C6CDF93-16C5-7E4A-ABDD-D815616DC249","Frank Lomer, Su-hui Lomer","10293",NA,"2016-09-13",2016,9,13,"PRESERVED_SPECIMEN","District of West Vancouver, Cypress Bowl Provincial Park, Yew Lake, northeast shore where trail skirts shore between the two picnic benches",NA,NA,"British Columbia","Canada","CA",49.399056,-123.210556,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"74","Eleocharis uniglumis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V252988",NA,"19D2E6E0-3C25-4642-AA90-137CF4473ACE","Frank Lomer","11244",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, west side, 570 m northwest of river mouth at end of Spit Road",NA,NA,"British Columbia","Canada","CA",49.6889169990696,-123.183972,7,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"75","Elymus glaucus ssp. glaucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glaucus","SUBSPECIES","RBCM","V","V000540",NA,"RBCM:Botany:V000540","John Macoun","540",NA,"1916-06-16",1916,6,16,"PRESERVED_SPECIMEN","Squamish River: within 5 miles of Brackendale",NA,NA,"British Columbia","Canada","CA",49.683333,-123.166667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Mary Barkworth",NA,NA,NA,NA,NA
"76","Elymus glaucus ssp. glaucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glaucus","SUBSPECIES","CPNWH","","2491671",NA,"09345e0f-206b-4a62-ad47-f4c62742af8c","John M. Macoun","V000540",NA,"1916-06-16",1916,6,16,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",49.683333,-123.166667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"77","Elymus repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V251154",NA,"E0C2C792-FC35-F549-82B2-C067E7001A16","Frank Lomer, Su-hui Lomer, Judith Holm","10065",NA,"2016-06-28",2016,6,28,"PRESERVED_SPECIMEN","Squamish River estuary, 1.3 km north of river mouth, 15 m west of railroad tracks",NA,NA,"British Columbia","Canada","CA",49.6966109990697,-123.163833,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"78","Epilobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","University of Lethbridge","LEA","",NA,"16980","P. Warrington","70",NA,"1967-06-24",1967,6,24,"PRESERVED_SPECIMEN","The Barrier, Garibaldi Park, N.W. on Barrier rock face",NA,NA,"British Columbia","Canada","CA",49.946111,-123.081667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"79","Erigeron annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V159780",NA,"CE32E19A-3FF5-244C-836E-27D041B136B9","Murray Clark","53",NA,"1976-07-15",1976,7,15,"PRESERVED_SPECIMEN","Squamish-Lillooet Regional District, near Paradise Valley, north of Squamish on Cheakamus River road",NA,NA,"British Columbia","Canada","CA",49.816667,-123.15,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"M.clark",NA,NA,NA,NA,NA
"80","Erigeron glacialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"callianthemus","SUBSPECIES","ca.ubc","UBCVascular","V27400",NA,"2415A39F-32C3-644F-8046-119183B86680","W. Cottle","382",NA,"1951-07-27",1951,7,27,"PRESERVED_SPECIMEN","Black Tusk meadow, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"81","Erigeron glacialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"callianthemus","SUBSPECIES","ca.ubc","UBCVascular","V27398",NA,"52C0C40C-8700-494E-91F8-CAABA2CD0472","W. Cottle","33",NA,"1951-07-27",1951,7,27,"PRESERVED_SPECIMEN","Black Tusk meadow, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Gloria G. Douglas 1976",NA,NA,NA,NA,NA
"82","Erigeron nivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"debilis","SUBSPECIES","ca.ubc","UBCVascular","V47131",NA,"0EEF8602-42EC-D145-901D-6587A139FA5A","A. E. Baggs","s.n.",NA,"",NA,NA,NA,"PRESERVED_SPECIMEN","west barrier, Garibaldi lake",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Gloria G. Douglas 1976",NA,NA,NA,NA,NA
"83","Eriocoma hymenoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V120307",NA,"65D8D3F8-092F-4D48-A95F-24664BA14EC6","Vernon C. Brink","s.n.",NA,"1947-06-24",1947,6,24,"PRESERVED_SPECIMEN","Greater Vancouver Regional District, Bowen Island. Mount Gardner.",NA,NA,"British Columbia","Canada","CA",49.4,-123.383333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"84","Eriophorum chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","20468328",NA,"https://www.inaturalist.org/observations/20468328","Derek Killby","",NA,"2016-08-06",2016,8,6,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.400581,-123.209835,3,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Derek Killby",NA,NA,NA,NA,NA
"85","Euphorbia esula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","43186096",NA,"https://www.inaturalist.org/observations/43186096","Tobin Sparling","",NA,"2020-04-24",2020,4,24,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.395488,-123.325398,24,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Tobin Sparling",NA,NA,NA,NA,NA
"86","Euphrasia officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V170139",NA,"85D2DEEF-EFC1-5D47-93C6-C6926841DBFE","A.A. Rose","80629",NA,"1980-08-09",1980,8,9,"PRESERVED_SPECIMEN","Greater Vancouver Regional District, New Westminster, Squamish River road",NA,NA,"British Columbia","Canada","CA",49.716667,-123.1,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"A.A. Rose",NA,NA,NA,NA,NA
"87","Eutrochium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","132094483",NA,"https://www.inaturalist.org/observations/132094483","karlish","",NA,"2022-08-23",2022,8,23,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.386479,-123.346138,8,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Usufruct",NA,NA,NA,NA,NA
"88","Fargesia murielae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V246471a",NA,"43730C9A-680B-814F-91A3-F46C5A5618DB","Frank Lomer","9131",NA,"2015-03-27",2015,3,27,"PRESERVED_SPECIMEN","Metro Vancouver, West Vancouver, Horseshoe Bay, 6239 Imperial Avenue near junction with Wellington Avenue",NA,NA,"British Columbia","Canada","CA",49.369222,-123.282639,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"89","Fargesia murielae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V246471b",NA,"CD8D29C8-9407-2B47-8363-CA0AC6B9035A","Frank Lomer","9131",NA,"2015-03-27",2015,3,27,"PRESERVED_SPECIMEN","Metro Vancouver, West Vancouver, Horseshoe Bay, 6239 Imperial Avenue near junction with Wellington Avenue",NA,NA,"British Columbia","Canada","CA",49.369222,-123.282639,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"90","Festuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","","","590325",NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=GRASS888-07","Jeffery M. Saarela","",NA,"2006-05-27",2006,5,27,"MATERIAL_SAMPLE","Horseshoe Bay, Whytecliff Park. Among rocky cliff",NA,NA,"British Columbia","Canada","CA",49.377,-123.29,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"91","Festuca brachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CMN","CAN","CAN 433523",NA,"7af53c46-118b-18b4-0984-b8453cb43a34","Krajina, V.J. ; Brooke, R.C.","64092005",NA,"1964-09-20",1964,9,20,"PRESERVED_SPECIMEN","Little Diamond Head Cheekye Ridge Garibaldi Park.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.8,-123.05,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Aiken, Dr. Susan - Canadian Museum of Nature",NA,NA,NA,NA,NA
"92","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","Saarela_501",NA,"MF597652","J.M. Saarela","",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","British Columbia, Lower Mainland, Vancouver, West Vancouver, Marine Drive, 100 m E of Gleneagles Drive",NA,NA,"","Canada","CA",49.360001,-123.279999,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"93","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","University of Alberta Museums","ALTA-VP","128351",NA,"urn:catalog:ALTA-VP:128351","Saarela, J. M.","505",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","Horseshoe Bay",NA,NA,"British Columbia","Canada","CA",49.37725,-123.29015,180,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"94","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V236841",NA,"961183B9-9FD2-9A46-8045-C66348C31CA5","Jeffery M. Saarela","505",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","Horseshoe Bay, Whytecliff Park",NA,NA,"British Columbia","Canada","CA",49.37725,-123.29015,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
"95","Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","CAN591413",NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=GRASS1391-10","J.M. Saarela","",NA,"2006-05-27",2006,5,27,"MATERIAL_SAMPLE","Lower Mainland, Vancouver, West Vancouver, Marine Drive, 100 m E of Gleneagle",NA,NA,"British Columbia","Canada","CA",49.358,-123.279,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jeffery M. Saarela",NA,NA,NA,NA,NA
