"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code","Taxon.rank","Original.Taxon","manual_rule","manual_note","synonym_target","synonym_parse_failed","baseline_First_Observed","genus_in_baseline","family_in_baseline","resolution_level","novelty_flag","date_flag","review_group","Curator.Decision","Curator.Notes","auto_exclusion_note"
"Falco peregrinus","Tunstall, 1771","","peregrine falcon","Animalia","Chordata","Vertebrata","","Aves","","","Falconiformes","","","Falconidae","","","Falco","peregrinus","","","","native","1-SC (SARA)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-08-15","Michael Hoebel","iNat:4046871","","4647","BIR","","","","","","","","","","","","","","","",""
"Falco sparverius","Linnaeus, 1758","","American kestrel","Animalia","Chordata","Vertebrata","","Aves","","","Falconiformes","","","Falconidae","","","Falco","sparverius","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-09-16","Peter Thompson & Michael Hoebel","iNat:34346539","","4665","BIR","","","","","","","","","","","","","","","",""
"Gallinago delicata","Ord, 1825","","Wilson’s snipe","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Gallinago","delicata","","","","native","S5B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Gavia immer","(Brunnich, 1764)","","common loon","Animalia","Chordata","Vertebrata","","Aves","","","Gaviiformes","","","Gaviidae","","","Gavia","immer","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-04-19","B.J. Stacey","iNat:167230","","4626","BIR","","","","","","","","","","","","","","","",""
"Gavia pacifica","(Lawrence, 1858)","","Pacific loon","Animalia","Chordata","Vertebrata","","Aves","","","Gaviiformes","","","Gaviidae","","","Gavia","pacifica","","","","native","S4B,S3S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-11-28","bobmcd’","iNat:2437268","","4621","BIR","","","","","","","","","","","","","","","",""
"Gavia stellata","(Pontoppidan, 1763)","","red-throated loon","Animalia","Chordata","Vertebrata","","Aves","","","Gaviiformes","","","Gaviidae","","","Gavia","stellata","","","","native","S4 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Geothlypis tolmiei","(Townsend, 1839)","","MacGillivray's warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Geothlypis","tolmiei","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-05-17","Michael Hoebel","iNat:4046991","","145223","BIR","","","","","","","","","","","","","","","",""
"Geothlypis trichas","(Linnaeus, 1766)","","common yellowthroat","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Geothlypis","trichas","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-05-10","Michael Hoebel","iNat:4046958","","9721","BIR","","","","","","","","","","","","","","","",""
"Glaucidium californicum","(PL Sclater, 1857)","","northern pygmy owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Glaucidium","californicum","","","","native","S4B (2015)","","reported","unobserved","1994-03-25","Aziza Cooper","eBird","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Haematopus bachmani","Audubon, 1838","","black oystercatcher","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Haematopodidae","","","Haematopus","bachmani","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2008-07-26","hdcooper","iNat:67005477","","4838","BIR","","","","","","","","","","","","","","","",""
"Haemorhous mexicanus","(Müller, 1776)","","house finch","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Haemorhous","mexicanus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-05-28","Sarah Tweedale","iNat:4041658","","199840","BIR","","","","","","","","","","","","","","","",""
"Haemorhous purpureus","(Gmelin, 1789)","","purple finch","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Haemorhous","purpureus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-04-25","Michael Hoebel","iNat:4046920","","199841","BIR","","","","","","","","","","","","","","","",""
"Haliaeetus leucocephalus washingtoniensis","(Linnaeus, 1766)","(Audubon, JJ 1827)","bald eagle","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Haliaeetus","leucocephalus","","washingtoniensis","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-05-17","lesfreck","iNat:86514778","","","BIR","","","","","","","","","","","","","","","",""
"Hesperiphona vespertina","(W. Cooper, 1825)","","evening grosbeak","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Hesperiphona","vespertina","","","","native","S5 (2015); SC (2016)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-05-21","Sarah Tweedale","iNat:4039972","reported as Coccothraustes vespertinus","9800","BIR","","","","","","","","","","","","","","","",""
"Hirundo rustica erythrogaster","(Linnaeus, 1758)","Boddaert, P 1783","barn swallow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Hirundo","rustica","","erythrogaster","","native","S3S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-08-08","Andrew Simon","iNat:3840481","reported as Hirundo rustica","342169","BIR","","","","","","","","","","","","","","","",""
"Histrionicus histrionicus","(Linnaeus, 1758)","","harlequin duck","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Histrionicus","histrionicus","","","","native","S4B,S3N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-16","Sarah Tweedale","iNat:4041645","","7111","BIR","","","","","","","","","","","","","","","",""
"Hydroprogne caspia","(Pallas, 1770)","","Caspian tern","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Sterninae","","Hydroprogne","caspia","","","","native","S3B (2015)","","new 2022","observed","","","","","","2022-06-25","Andrew Simon","iNat:124067913","","144537","BIR","","","","","","","","","","","","","","","",""
"Ixoreus naevius","Gmelin, 1789","","varied thrush","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Ixoreus","naevius","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-12-15","Michael Hoebel","iNat:4046990","","145088","BIR","","","","","","","","","","","","","","","",""
"Junco hyemalis","(Linnaeus, 1758)","","dark-eyed junco","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Junco","hyemalis","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-02-15","Andrew Simon","iNat:2565000","","10094","BIR","","","","","","","","","","","","","","","",""
"Lanius borealis","Vieillot, 1808","","northern shrike","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Laniidae","","","Lanius","borealis","","","","native","S4B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-12-17","Adam Jermakow","iNat:19202265","","558512","BIR","","","","","","","","","","","","","","","",""
"Larus argentatus","Pontoppidan, 1763","","herring gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","argentatus","","","","native","S4 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Larus brachyrhynchus","Richardson, 1831","","short-billed gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","brachyrhynchus","","","","native","S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-09-11","Michael Hoebel","iNat:4046941","","1286964","BIR","","","","","","","","","","","","","","","",""
"Larus californicus","(Lawrence, 1854)","","California gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","californicus","","","","native","S2S3B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-09-11","bobmcd’","iNat:7917878","","4385","BIR","","","","","","","","","","","","","","","",""
"Larus delawarensis","Ord, 1815","","ring-billed gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","delawarensis","","","","native","S4?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-10-23","Michael Hoebel","iNat:4046992","","4364","BIR","","","","","","","","","","","","","","","",""
"Larus glaucescens","(Naumann, 1840)","","glaucous-winged gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","glaucescens","","","","native","S4?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2008-12-25","Steve Ansell","iNat:146666927","Many of our birds are hybrids (Larus glaucescens × occidentalis)","4399","BIR","","","","","","","","","","","","","","","",""
"Larus glaucoides thayeri","Brooks, WS, 1915","","Iceland gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","glaucoides","","thayeri","","native","S5N (2017)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2022-02-01","Jackson W.F. Chu","iNat:105999647","","556736","BIR","","","","","","","","","","","","","","","",""
"Larus heermanni","Cassin, 1852","","Heermann’s gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","heermanni","","","","native","SUN (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Larus occidentalis","(Audubon, 1839)","","western gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Larus","occidentalis","","","","native","SUN (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","Many of our birds are hybrids (Larus glaucescens × occidentalis)","","BIR","","","","","","","","","","","","","","","",""
"Leiothlypis celata","(Say, 1823)","","orange-crowned warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Leiothlypis","celata","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-04-09","Kristian Sigvardsen","iNat:2926959","","979757","BIR","","","","","","","","","","","","","","","",""
"Leuconotopicus villosus","(Linnaeus, 1766)","","hairy woodpecker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","Picinae","","Leuconotopicus","villosus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-04-23","Andrew Simon","iNat:3030496","reported as Dryobates villosus","1651487","BIR","","","","","","","","","","","","","","","",""
"Limnodromus scolopaceus","(Say, 1823)","","long-billed dowitcher","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Limnodromus","scolopaceus","","","","native","S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-10-07","Michael Hoebel","iNat:4054132","","3873","BIR","","","","","","","","","","","","","","","",""
"Lophodytes cucullatus","(Linnaeus, 1758)","","hooded merganser","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Lophodytes","cucullatus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-01-04","Michael Hoebel","iNat:4046955","","7109","BIR","","","","","","","","","","","","","","","",""
"Loxia curvirostra","Linnaeus, 1758","","red crossbill","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Fringillidae","","","Loxia","curvirostra","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-19","Bridgit Spencer","iNat:2380928","","10411","BIR","","","","","","","","","","","","","","","",""
"Mareca americana","(Gmelin, 1789)","","American wigeon","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Mareca","americana","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-12-25","Kevin Toomer","iNat:9261664","","485176","BIR","","","","","","","","","","","","","","","",""
"Mareca penelope","(Linnaeus, 1758)","","Eurasian wigeon","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Mareca","penelope","","","","native","SNRN (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","reported as Anas penelope","","BIR","","","","","","","","","","","","","","","",""
"Mareca strepera","(Linnaeus, 1758)","","gadwall","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Mareca","strepera","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-08-13","Adam Huggins","iNat:3889102","","558439","BIR","","","","","","","","","","","","","","","",""
"Megaceryle alcyon","(Linnaeus, 1758)","","belted kingfisher","Animalia","Chordata","Vertebrata","","Aves","","","Coraciiformes","","","Alcedinidae","","","Megaceryle","alcyon","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-07-28","Karolle Wall","iNat:97176968","","2548","BIR","","","","","","","","","","","","","","","",""
"Megascops kennicottii","(Elliot, 1867)","","western screech owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Megascops","kennicottii","","","","native","S4 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Melanerpes erythrocephalus","(Linnaeus, 1758)","","red-headed woodpecker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","Picinae","","Melanerpes","erythrocephalus","","","","accidental","SNA (2015)","","new 2024","observed","","","","","","2024-07-17","tanageraz","iNat:233013048","","18204","BIR","","","","","","","","","","","","","","","",""
"Melanitta americana","(Swainson, 1832)","","black scoter","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Melanitta","americana","","","","native","S3S4N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Melanitta deglandi","(Bonaparte, 1850)","","white-winged scoter","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Melanitta","deglandi","","","","native","S4S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-04-22","Michael Hoebel","iNat:19548057","","144222","BIR","","","","","","","","","","","","","","","",""
"Melanitta perspicillata","(Linnaeus, 1758)","","surf scoter","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Melanitta","perspicillata","","","","native","S3B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-18","Keith Valentine","iNat:2800323","","7036","BIR","","","","","","","","","","","","","","","",""
"Melospiza georgiana","(Latham, 1790)","","swamp sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Melospiza","georgiana","","","","native","S4S5 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Melospiza lincolnii","(Audubon, 1834)","","Lincoln’s sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Melospiza","lincolnii","","","","native","S5B,SNRN (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2024-04-26","Steph Brulot-Sawchyn","iNat:209989723","","9092","BIR","","","","","","","","","","","","","","","",""
"Melospiza melodia","(Wilson, 1810)","","song sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Melospiza","melodia","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-07-27","Cameron Deckert","iNat:18550214","","9100","BIR","","","","","","","","","","","","","","","",""
"Mergus merganser","Linnaeus, 1758","","common merganser","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Mergus","merganser","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-27","Sarah Tweedale","iNat:2928691","","7004","BIR","","","","","","","","","","","","","","","",""
"Mergus serrator","Linnaeus, 1758","","red-breasted merganser","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Mergus","serrator","","","","native","S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-16","Sarah Tweedale","iNat:4041762","","6996","BIR","","","","","","","","","","","","","","","",""
"Molothrus ater","(Boddaert, 1783)","","brown-headed cowbird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Icteridae","","","Molothrus","ater","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-04-16","Michael Hoebel","iNat:4046911","","10373","BIR","","","","","","","","","","","","","","","",""
"Myadestes townsendi","(Audubon, 1838)","","Townsend's solitaire","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Myadestes","townsendi","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-05-01","Michael Hoebel","iNat:4046980","","12951","BIR","","","","","","","","","","","","","","","",""
"Nannopterum auritum","(Lesson, 1831)","","double-crested cormorant","Animalia","Chordata","Vertebrata","","Aves","","","Suliformes","","","Phalacrocoracidae","","","Nannopterum","auritum","","","","native","S3S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-12-20","Andrew Simon","iNat:2562503","","1454382","BIR","","","","","","","","","","","","","","","",""
"Pandion haliaetus","(Linnaeus, 1758)","","osprey","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Pandionidae","","","Pandion","haliaetus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-20","Bridgit Spencer","iNat:2677178","","116999","BIR","","","","","","","","","","","","","","","",""
"Passer domesticus","(Linnaeus, 1758)","","house sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passeridae","","","Passer","domesticus","","","","exotic","unlisted","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Passerculus sandwichensis","(Gmelin, 1789)","","savannah sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Passerculus","sandwichensis","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-09-16","Michael Hoebel","iNat:4047043","","9981","BIR","","","","","","","","","","","","","","","",""
"Passerella iliaca","(Merrem, 1786)","","fox sparrow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Passerella","iliaca","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-04-18","Michael Hoebel","iNat:4046924","","9156","BIR","","","","","","","","","","","","","","","",""
"Passerina amoena","(Say, 1823)","","lazuli bunting","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Cardinalidae","","","Passerina","amoena","","","","native","S5B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Patagioenas fasciata","(Say, 1823)","","band-tailed pigeon","Animalia","Chordata","Vertebrata","","Aves","","","Columbiformes","","","Columbidae","","","Patagioenas","fasciata","","","","native","1-SC (SARA 2011)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2007-12-24","Michael Hoebel","iNat:4046905","","3108","BIR","","","","","","","","","","","","","","","",""
"Pelecanus erythrorhynchos","Gmelin, 1789","","American white pelican","Animalia","Chordata","Vertebrata","","Aves","","","Pelecaniformes","","","Pelecanidae","","","Pelecanus","erythrorhynchos","","","","native","S1B (2022)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-07-10","Michael Hoebel","iNat:102503941","","4334","BIR","","","","","","","","","","","","","","","",""
"Petrochelidon pyrrhonota","Vieillot, 1817","","cliff swallow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Petrochelidon","pyrrhonota","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-06-08","Michael Hoebel","iNat:4047010","","11858","BIR","","","","","","","","","","","","","","","",""
"Phalaropus fulicarius","(Linnaeus, 1758)","","red phalarope","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Phalaropus","fulicarius","","","","native","SUM (2015)","","reported","unobserved","2016-12-01","Keith Riding","eBird","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Phalaropus lobatus","(Linnaeus, 1758)","","red-necked phalarope","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Phalaropus","lobatus","","","","native","S3S4B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Pheucticus ludovicianus","(Linnaeus, 1766)","","rose-breasted grosbeak","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Cardinalidae","","","Pheucticus","ludovicianus","","","","native","S4S5B (2015)","","new 2020","observed","","","","","","2020-05-23","Mark Webber","iNat:47183074","“vagrant” species on southern Vancouver Island checklist","10271","BIR","","","","","","","","","","","","","","","",""
"Pheucticus melanocephalus","(Swainson, 1827)","","black-headed grosbeak","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Cardinalidae","","","Pheucticus","melanocephalus","","","","native","S5B (2016)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-05-14","Sarah Tweedale","iNat:4039998","","10274","BIR","","","","","","","","","","","","","","","",""
"Pica hudsonia","Sabine, 1823","","black-billed magpie","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Corvidae","","","Pica","hudsonia","","","","native","S5 (2015)","","new 2020","observed","","","","","","2020-04-18","Michael Hoebel","iNat:42526363","“accidental” species on the southern Vancouver Island checklist","143853","BIR","","","","","","","","","","","","","","","",""
"Pipilo maculatus","Swainson, 1827","","spotted towhee","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Passerellidae","","","Pipilo","maculatus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-07-07","Dan MacNeal","iNat:18609827","","9420","BIR","","","","","","","","","","","","","","","",""
"Piranga ludoviciana","(Wilson, 1811)","","western tanager","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Cardinalidae","","","Piranga","ludoviciana","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-07-07","Dan MacNeal","iNat:18609823","","9919","BIR","","","","","","","","","","","","","","","",""
"Podiceps auritus","(Linnaeus, 1758)","","horned grebe","Animalia","Chordata","Vertebrata","","Aves","","","Podicipediformes","","","Podicipedidae","","","Podiceps","auritus","","","","native","S4B, SNRN (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-01-04","Michael Hoebel","iNat:4046939","","4209","BIR","","","","","","","","","","","","","","","",""
"Podiceps grisegena","(Boddaert, 1783)","","red-necked grebe","Animalia","Chordata","Vertebrata","","Aves","","","Podicipediformes","","","Podicipedidae","","","Podiceps","grisegena","","","","native","S5?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2022-09-02","Liam Steele","iNat:135679353","","4224","BIR","","","","","","","","","","","","","","","",""
"Podiceps nigricollis","Brehm, 1831","","eared grebe","Animalia","Chordata","Vertebrata","","Aves","","","Podicipediformes","","","Podicipedidae","","","Podiceps","nigricollis","","","","native","S3B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Podilymbus podiceps","(Linnaeus, 1758)","","pied-billed grebe","Animalia","Chordata","Vertebrata","","Aves","","","Podicipediformes","","","Podicipedidae","","","Podilymbus","podiceps","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2020-07-04","blakedanis","iNat:51983215","","4246","BIR","","","","","","","","","","","","","","","",""
"Poecile rufescens","(Townsend, 1837)","","chestnut-backed chickadee","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Paridae","","","Poecile","rufescens","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-07-25","lesfreck","iNat:86518608","","144820","BIR","","","","","","","","","","","","","","","",""
"Progne subis arboricola","(Linnaeus, 1758)","Behle, WH 1968","purple martin","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Hirundinidae","","","Progne","subis","","arboricola","","native","S3B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-21","Peter Taylor","iNat:103195944","reported as Progne subis","345123","BIR","","","","","","","","","","","","","","","",""
"Psaltriparus minimus","(Townsend, 1837)","","bushtit","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Aegithalidae","","","Psaltriparus","minimus","","","","native","S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-04-14","Michael Hoebel","iNat:4046836","","7266","BIR","","","","","","","","","","","","","","","",""
"Rallus limicola","Vieillot, 1819","","Virginia rail","Animalia","Chordata","Vertebrata","","Aves","","","Gruiformes","","","Rallidae","","","Rallus","limicola","","","","native","S4S5 (2015)","","new 2016","observed","","","","","","2016-09-07","Romayne Galager","iNat:4112274","","243","BIR","","","","","","","","","","","","","","","",""
"Regulus satrapa","(Lichtenstein, 1823)","","golden-crowned kinglet","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Regulidae","","","Regulus","satrapa","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-07-26","Cameron Deckert","iNat:19139375","","117100","BIR","","","","","","","","","","","","","","","",""
"Salpinctes obsoletus","(Say, T 1822)","","rock wren","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Troglodytidae","","","Salpinctes","obsoletus","","","","native","S4S5B (2015)","","new 2024","observed","","","","","","2024-09-29","Sean Vanderluit","iNat:244831966","","7486","BIR","","","","","","","","","","","","","","","",""
