"Taxon","Matched.Taxon"
"Sedum rupestre","Petrosedum rupestre"
"Sellaria nitens","Stellaria nitens"
"Senecio fremontii","Senecio fremontii var. fremontii"
"Senecio jacobaea","Jacobaea vulgaris"
"Silene alba","Silene latifolia"
"Sisyrinchium idahoense","Sisyrinchium idahoense var. idahoense"
"Sisyrinchium idahoense idahoense","Sisyrinchium idahoense var. idahoense"
"Sisyrinchium idahoensis","Sisyrinchium idahoense var. idahoense"
"Smilicina racemosa","Maianthemum racemosum ssp. amplexicaule"
"Solanum americanum var. nodiflorum","Solanum americanum"
"Sonchus arvensis","Sonchus arvensis ssp. arvensis"
"Sonchus arvensis arvensis","Sonchus arvensis ssp. arvensis"
"Sorbus scopulina cascadensis","Sorbus scopulina var. cascadensis"
"Sorbus sitchensis var sitchensis","Sorbus sitchensis var. sitchensis"
"Spergularia canadensis","Spergularia canadensis var. occidentalis"
"Spergularia canadensis var occidentalis","Spergularia canadensis var. occidentalis"
"Spergularia macrotheca macrotheca","Spergularia macrotheca"
"Spergularia macrotheca var. macrotheca","Spergularia macrotheca"
"Spergularia salina","Spergularia marina"
"Spiraea douglasii douglasii","Spiraea douglasii"
"Spiraea douglasii var menziesii","Spiraea douglasii"
"Spiraea splendens var splendens","Spiraea splendens"
"Spirea douglasii spp. douglasii","Spiraea douglasii"
"Stachys chamissonis","Stachys chamissonis var. cooleyae"
"Stachys chamissonis cooleyae","Stachys chamissonis var. cooleyae"
"Stachys cooleyae","Stachys chamissonis var. cooleyae"
"Stellaria borealis","Stellaria borealis ssp. sitchana"
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana"
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana"
"Stellaria calycantha","Stellaria borealis ssp. sitchana"
"Stellaria longipes","Stellaria longipes ssp. longipes"
"Stipa lemmonnii","Eriocoma lemmonii"
"Streptopus lanceolatus","Streptopus lanceolatus var. curvipes"
"Symphoricarpos albus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos albus albus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos albus var laevigatus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos mollis hesperius","Symphoricarpos mollis"
"Symphoricarpos mollis var. hesperius","Symphoricarpos mollis"
"Symphyotrichum foliaceum","Symphyotrichum foliaceum var. foliaceum"
"T. dichotomum","Trifolium dichotomum"
"T. incarnatum","Trifolium incarnatum"
"T. maritimum","Triglochin maritima"
"T. microcephalum","Trifolium microcephalum"
"T. microdon","Trifolium microdon"
"T. pratense","Trifolium pratense"
"T. subterraneum","Trifolium subterraneum"
"T. vulgare","Tanacetum vulgare"
"T. wormskjoldii","Trifolium wormskioldii"
"Taraxacum erythrospermum","Taraxacum erythrospermum agg."
"Taraxacum laevigatum","Taraxacum erythrospermum agg."
"Taraxacum officinale","Taraxacum officinale agg."
"Tellima grandiflorum","Tellima grandiflora"
"Thalspi arvense","Thlaspi arvense"
"Tiarella trifoliata laciniata","Tiarella trifoliata var. laciniata"
"Tiarella trifoliata trifoliata","Tiarella trifoliata var. trifoliata"
"Tiarella trifoliata unifoliata","Tiarella trifoliata var. unifoliata"
"Torilis japonica (arvense?)","Torilis japonica"
"Torreyochloa pallida pauciflora","Torreyochloa pallida var. pauciflora"
"Torreyochloa pauciflora","Torreyochloa pallida var. pauciflora"
"Triantha occidentalis brevistyla","Triantha occidentalis ssp. brevistyla"
"Trientalis arctica","Lysimachia europaea ssp. arctica"
"Trientalis borealis ssp. latifolia","Lysimachia latifolia"
"Trientalis latifolia","Lysimachia latifolia"
"Trifolium glomerata","Trifolium glomeratum"
"Trifolium oligathum","Trifolium oliganthum"
"Trifolium procumbens","Trifolium campestre"
"Trifolium willdenowii","Trifolium willdenovii"
"Triglochin concinnum","Triglochin concinna var. concinna"
"Trillium ovatum","Trillium ovatum var. ovatum"
"Trisetum cernuum var. canescens","Trisetum canescens"
"Trollius laxus","Trollius laxus ssp. albiflorus"
"Trollius laxus albiflorus","Trollius laxus ssp. albiflorus"
"U. vulgaris","Utricularia macrorhiza"
"Urtica gracilis gracilis","Urtica gracilis"
"Utricularia vulgaris","Utricularia macrorhiza"
"V. beccabunga ssp. americana","Veronica americana"
"V. filiformis","Veronica filiformis"
"V. minor","Vinca minor"
"V. myuros","Festuca myuros"
"V. pallens","Viola palustris"
"V. palustris","Viola palustris"
"V. parvifolium","Vaccinium parvifolium"
"V. peregrina","Veronica peregrina var. peregrina"
"V. persica","Veronica persica"
"V. phlomoides","Verbascum phlomoides"
"V. scutellata","Veronica scutellata"
"V. sempervirens","Viola sempervirens"
"V. serpyllifolia","Veronica serpyllifolia"
"Vaccinium oxycoccus","Vaccinium oxycoccos"
"Vaccinum ovatum","Vaccinium ovatum"
"Veronica alpina","Veronica alpina?"
"Veronica beccabunga","Veronica americana"
"Veronica beccabunga ssp. americana","Veronica americana"
"Veronica peregrina","Veronica peregrina var. peregrina"
"Veronica peregrina peregrina","Veronica peregrina var. peregrina"
"Veronica peregrina ssp. xalapensis","Veronica peregrina var. xalapensis"
"Veronica serpyllifolia serpyllifolia","Veronica serpyllifolia"
"Vicia giganta","Vicia gigantea"
"Vicia nigricans","Vicia gigantea"
"Vicia nigricans gigantea","Vicia gigantea"
"Vicia villosa","Vicia villosa var. villosa"
"Vicia villosa villosa","Vicia villosa var. villosa"
"Viola adunca","Viola adunca var. adunca"
"Vulpia bromoides","Festuca bromoides"
"Vulpia microstachys","Festuca microstachys var. pauciflora"
"Vulpia microstachys var. pauciflora","Festuca microstachys var. pauciflora"
"Woodsia oregana","Woodsia oregana ssp. oregana"
"Woodsia oregana subsp. oregana","Woodsia oregana ssp. oregana"
"Yabaea microcarpa","Yabea microcarpa"
"Zigadenus venenosus","Toxicoscordion venenosum"
"Carex kelloggii",""
"Castilleja hispida var. hispida",""
"Ceanothus velutinus",""
