"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Stylantheca papillosa","Purple Encrusting Hydrocoral","SNR (2022)","Not Reviewed","",""
"Symplectoscyphus tricuspidatus","","","","",""
"Thuiaria thuja","","","","",""
"Urticina clandestina","Pacific Stubby Rose Anemone","","","",""
"Urticina columbiana","Sand Rose Anemone","","","",""
"Urticina crassicornis","Christmas Anemone","","","",""
"Urticina grebelnyi","Painted Anemone","","","",""
"Virgularia sp.","","","","",""
"Beroe spp.","Cigar Comb Jellies","","","",""
"Bolinopsis infundibulum","Common Northern Comb Jelly","","","",""
"Euplokamis dunlapae","","","","",""
"Pleurobrachia bachei","Pacific Sea Gooseberry","","","",""
"Apostichopus californicus","giant California sea cucumber","SNR (2022)","Not Reviewed","",""
"Brisaster latifrons","Mud Urchin","SNR (2022)","Not Reviewed","",""
"Brisaster townsendi","","","","",""
"Ceramaster patagonicus","Cookie Star","SNR","Not Reviewed","",""
"Chiridota albatrossii","Albatross Footless Sea Cucumber","SNR (2022)","Not Reviewed","",""
"Crossaster papposus","Rose Sun Star","SNR","Not Reviewed","",""
"Ctenodiscus crispatus","Cookie-cutter Sea Star","SNR","Not Reviewed","",""
"Cucumaria miniata","Orange Sea Cucumber","SNR (2022)","Not Reviewed","",""
"Cucumaria pallida","Pallid Sea Cucumber","SNR (2022)","Not Reviewed","",""
"Cucumaria piperata","peppered sea cucumber","SNR (2022)","Not Reviewed","",""
"Dermasterias imbricata","Leather Star","SNR","Not Reviewed","",""
"Eupentacta quinquesemita","Stiff-footed sea cucumber","SNR (2022)","Not Reviewed","",""
"Eupentacta spp.","","","","",""
"Evasterias troschelii","Mottled Star","SNR","Not Reviewed","",""
"Florometra serratissima","Common Feather Star","","","",""
"Gephyreaster swifti","Gunpowder Sea Star","SNR","Not Reviewed","",""
"Gorgonocephalus eucnemis","Common basket star","","","",""
"Henricia aspera aspera","","SNR","Not Reviewed","",""
"Henricia leviuscula complex","","","","",""
"Henricia sanguinolenta","Northern Blood Star","SNR","Not Reviewed","",""
"Hippasteria californica","","SNR","Not Reviewed","",""
"Hippasteria phrygiana","Trojan Star","SNR","Not Reviewed","",""
"Leptychaster pacificus","Pacific Sand Star","SNR","Not Reviewed","",""
"Lophaster furcilliger","Crested Star","SNR","Not Reviewed","",""
"Luidia foliolata","Sand Star","","","",""
"Mediaster aequalis","Vermilion Star","SNR","Not Reviewed","",""
"Mesocentrotus franciscanus","Red Sea Urchin","SNR (2022)","Not Reviewed","",""
"Molpadia intermedia","Sweet Potato Sea Cucumber","SNR (2022)","Not Reviewed","",""
"Ophiopholis aculeata","Daisy Brittle Star","","","",""
"Ophiopholis kennerlyi","Daisy Brittle Star","","","",""
"Ophiura luetkenii","grey brittle star","","","",""
"Ophiura sarsii","Notched Brittle Star","","","",""
"Orthasterias koehleri","Rainbow Star","SNR","Not Reviewed","",""
"Pisaster brevispinus","Giant Pink Sea Star","SNR","Not Reviewed","",""
"Pisaster ochraceus","Ochre Sea Star","SNR","Not Reviewed","",""
"Poraniopsis inflata","Northeastern Pacific Sea Star","SNR","Not Reviewed","",""
"Pseudarchaster alascensis","Alaskan Scarlet Star","SNR","Not Reviewed","",""
"Pseudarchaster pusillus","","","","",""
"Psolidium bidiscum","Pale Creeping Pedal Sea Cucumber","SNR (2022)","Not Reviewed","",""
"Psolus chitonoides","armored sea cucumber","SNR (2022)","Not Reviewed","",""
"Pteraster militaris","wrinkled star","SNR","Not Reviewed","",""
"Pteraster tesselatus","Slime Star","SNR","Not Reviewed","",""
"Pycnopodia helianthoides","Sunflower Sea Star","SNR","Not Reviewed","Endangered (2025)",""
"Solaster dawsoni","Morning sun star","SNR","Not Reviewed","",""
"Solaster endeca","Purple Sun Star","SNR","Not Reviewed","",""
"Solaster paxillatus","Orange Sun Star","SNR","Not Reviewed","",""
"Solaster stimpsoni","Striped Sun Star","SNR","Not Reviewed","",""
"Strongylocentrotus droebachiensis","Arctic Green Sea Urchin","SNR (2022)","Not Reviewed","",""
"Stylasterias forreri","Velcro Star","SNR","Not Reviewed","",""
"Thyone benti","","SNR (2022)","Not Reviewed","",""
"Clinostomum marginatum","","","","",""
"Eurylepta leoparda","","","","",""
"Kaburakia excelsa","Giant Flatworm","","","",""
"Barentsia sp.","","","","",""
"Phoronis ijimai","","","","",""
"Laqueus californianus","Vancouver Lampshell","","","",""
"Laqueus vancouverensis","","","","",""
"Terebratalia transversa","North Pacific Lampshell","","","",""
"Terebratulina unguicula","","","","",""
"Acanthodoris hudsoni","Hudson's Horned Dorid","","","",""
"Acanthodoris lutea","Sandalwood Dorid","","","",""
"Acanthodoris nanaimoensis","Nanaimo Dorid","","","",""
"Acanthodoris pilosa","Hairy Spiny Dorid","","","",""
"Acmaea mitra","Whitecap Limpet","","","",""
"Acteocina cerealis","","","","",""
"Acteocina culcitella","Western Barrel-Bubble","","","",""
"Adalaria proxima","Tuberculate Dorid","","","",""
"Adalaria spp.","","","","",""
"Aegires albopunctatus","Salt-and-pepper Doris","","","",""
"Aeolidia papillosa","Shag-rug Nudibranch","","","",""
"Akiodoris salacia","Salacia's Dorid","","","",""
"Aldisa albomarginata","White-lined Aldisa","","","",""
"Aldisa cooperi","Cooper's Aldisa","","","",""
"Amphissa columbiana","Wrinkled Amphissa","","","",""
"Amphissa versicolor","Variegate Amphissa","","","",""
"Angustassiminea californica","California Assiminea","","","",""
"Antiopella fusca","White-and-orange-tipped Nudibranch","","","",""
"Antiopella gelida","Frosty-tipped Nudibranch","","","",""
"Armina californica","Striped Nudibranch","","","",""
"Astarte esquimalti","Wavy-Line Astarte","","","",""
"Atalodoris jannae","Janna's Dorid","","","",""
"Bankia setacea","","","","",""
"Beringius crebricostatus","","","","",""
"Berryteuthis magister","Schoolmaster Armhook Squid","","","",""
"Boreoberthella chacei","","","","",""
"Buccinum plectrum","sinuous whelk","","","",""
"Cadlina luteomarginata","Yellow-edged Cadlina","","","",""
"Cadlina modesta","Modest Cadlina","","","",""
"Cadlina sylviaearleae","Sylvia Earle's Cadlina","","","",""
"Callianax biplicata","Purple Olive Snail","","","",""
"Cardiomya californica","","","","",""
"Cardiomya pectinata","Pectinate Cardiomya","","","",""
"Ceratostoma foliatum","Leafy Hornmouth","","","",""
"Chlamys hastata","Spiny Scallop","","","",""
"Chlamys rubida","Reddish Scallop","","","",""
"Ciliatocardium ciliatum","Iceland Cockle","","","",""
"Clinocardium nuttallii","Nuttall's Cockle","","","",""
"Compsomyax subdiaphana","Milky Venus","","","",""
"Corruptobranchus sanjuanensis","San Juan Aeolid","","","",""
"Coryphella trophina","Predaceous Aeolis","","","",""
"Coryphella verrucosa","Red-fingered Coryphella","","","",""
"Crassadoma gigantea","Giant Rock Scallop","","","",""
"Crepipatella lingulata","Pacific Half-slipper Snail","","","",""
"Cryptobranchia concentrica","Ringed Blind Limpet","","","",""
"Cryptochiton stelleri","Gumboot Chiton","","","",""
"Cryptonatica affinis","Arctic moonsnail","","","",""
"Cryptonatica aleutica","Aleutian Moonsnail","","","",""
"Cyanoplax dentiens","Gould's baby chiton","","","",""
"Delectopecten vancouverensis","Vancouver Scallop","","","",""
"Dendrochiton flectens","Painted Dendrochiton","","","",""
"Dendronotus albus","White Dendronotus","","","",""
"Dendronotus dalli","Dall's Dendronotid","","","",""
"Dendronotus frondosus","Bushy-backed Nudibranch","","","",""
"Dendronotus iris","Giant Nudibranch","","","",""
"Dendronotus rufus","Red Dendronotid","","","",""
"Dendronotus venustus","Branched Dendronotid","","","",""
"Deshayesiella spicata","","","","",""
"Diaulula odonoghuei","Northern Leopard Dorid","","","",""
"Diodora aspera","Rough Keyhole Limpet","","","",""
"Dirona albolineata","White-lined Dirona","","","",""
"Dirona pellucida","golden dirona","","","",""
"Doris montereyensis","Monterey Dorid","","","",""
"Doris odhneri","Odhner's Dorid","","","",""
"Doryteuthis opalescens","Opalescent Inshore Squid","","","",""
"Ennucula tenuis","","","","",""
"Enteroctopus dofleini","Giant Pacific Octopus","","","",""
"Entodesma navicula","Northwest Ugly Clam","","","",""
"Epitonium indianorum","Money Wentletrap","","","",""
"Eubranchulus rupium","Rocky Aeolid","","","",""
"Euspira pallida","Pale moonsnail","","","",""
"Fusitriton oregonensis","Oregon Hairy Triton Snail","","","",""
"Gari californica","California Sunset Clam","","","",""
"Haliotis kamtschatkana","Pinto Abalone","S2 (2002)","Red","Endangered (2009)","S1: Endangered"
"Hermissenda crassicornis","Horned Nudibranch","","","",""
"Hiatella arctica","Arctic Hiatella","","","",""
"Humilaria kennerleyi","Kennerley Venus","","","",""
"Katharina tunicata","Black Leather Chiton","","","",""
"Keenaea centifilosa","Hundred-Line Cockle","","","",""
"Kellia suborbicularis","Suborbicular Kellyclam","","","",""
"Kurtiella tumida","Robust Mysella","","","",""
"Lacuna variegata","","","","",""
"Lacuna vincta","Northern Lacuna","","","",""
"Latisipho hallii","","","","",""
"Lepidozona cooperi","Cooper's Chiton","","","",""
"Lepidozona interstincta","","","","",""
"Lepidozona mertensii","Merten's Chiton","","","",""
"Lepidozona retiporosa","","","","",""
"Lepidozona willetti","","","","",""
"Leukoma staminea","Pacific Littleneck Clam","","","",""
"Lima vulgaris","Common File Clam","","","",""
"Limacia cockerelli","Cockerell's Dorid","","","",""
"Lirabuccinum dirum","Dire Whelk","","","",""
"Lirobittium attenuatum","","","","",""
"Littorina littorea","Common Periwinkle","","","",""
"Littorina scutulata","Checkered Periwinkle","","","",""
"Littorina sitkana","Sitka Periwinkle","","","",""
"Lottia digitalis","Fingered Limpet","","","",""
"Lottia fenestrata","Chocolate Limpet","","","",""
"Lottia limatula","File Limpet","","","",""
"Lottia pelta","Shield Limpet","","","",""
"Lottia persona","Mask Limpet","","","",""
"Lottia scutum","Plate Limpet","","","",""
"Lyonsia californica","California Lyonsia","","","",""
"Macoma balthica","Baltic Macoma","","","",""
"Macoma calcarea","Chalky Macoma","","","",""
"Macoma nasuta","Bent-nosed Clam","","","",""
"Magallana gigas","Pacific Oyster","","","",""
"Marsenina stearnsii","","","","",""
"Megayoldia thraciaeformis","Broad yoldia","","","",""
"Melanella micans","","","","",""
"Melibe leonina","Hooded Nudibranch","","","",""
"Mitrella gausapata","","","","",""
"Modiolus modiolus","Northern Horse Mussel","","","",""
"Mopalia ciliata","Hairy Chiton","","","",""
"Mopalia egretta","Egret Plume Mopalia","","","",""
"Mopalia ferreirai","Ferreira's Chiton","","","",""
"Mopalia hindsii","Hind's Chiton","","","",""
"Mopalia kennerleyi","","","","",""
"Mopalia lignosa","Woody Chiton","","","",""
"Mopalia muscosa","Mossy Chiton","","","",""
"Mopalia phorminx","","","","",""
"Mopalia spectabilis","Red-Flecked Mopalia","","","",""
"Mopalia swanii","Swan's Mopalia","","","",""
"Mopalia vespertina","","","","",""
"Mya arenaria","Soft-shelled Clam","","","",""
"Mya truncata","Truncate Softshell Clam","","","",""
"Mytilus californianus","California Mussel","","","",""
"Mytilus edulis","Blue Mussel","","","",""
"Mytilus trossulus","Northern Bay Mussel","","","",""
"Nassarius mendicus","Lean Western Nassa","","","",""
"Neptunea lyrata","Lyre Whelk","","","",""
"Neptunea phoenicea","","","","",""
"Neverita lewisii","Lewis's Moon Snail","","","",""
"Nucella lamellosa","Frilled Dogwinkle","","","",""
"Nuculana minuta","Minute Nut-clam","","","",""
"Nuculana navisa","","","","",""
"Nutricola ovalis","Oval Dwarf-Venus","","","",""
"Nuttallia obscurata","Purple Mahogany Clam","","","",""
"Octopus rubescens","East Pacific Red Octopus","","","",""
"Onchidoris bilamellata","barnacle-eating dorid","","","",""
"Onchidoris evincta","Crowned Dorid","","","",""
"Onchidoris muricata","Fuzzy Onchidoris","","","",""
"Opalia wroblewskyi","Boreal Wentletrap","","","",""
"Orienthella trilineata","Three-lined Aeolid","","","",""
"Ostrea conchaphila","Pacific Flat Oyster","","","",""
"Ostrea lurida","Olympia Oyster","S3 (2003)","Blue","Special Concern (2011)","S1: Special Concern (2003)"
"Paciocinebrina interfossa","Sculptured Rocksnail","","","",""
"Palio dubia","Rim-backed Nudibranch","","","",""
"Panopea generosa","Pacific Geoduck","","","",""
"Peltodoris nobilis","Noble Dorid","","","",""
"Placiphorella rufa","Red Veiled Chiton","","","",""
"Placiphorella velata","Veiled Chiton","","","",""
"Pododesmus macrochisma","Green Falsejingle","","","",""
"Potamopyrgus antipodarum","New Zealand Mudsnail","SNA (2025)","Exotic","",""
"Puncturella cucullata","Hooded Puncturella","","","",""
"Rhabdus rectius","","","","",""
"Rossia pacifica","Stubby Bobtail","","","",""
"Rostanga pulchra","Red Sponge Dorid","","","",""
"Ruditapes philippinarum","Japanese Littleneck","","","",""
"Saxidomus gigantea","Butter Clam","","","",""
"Scabrotrophon maltzani","","","","",""
"Scabrotrophon stuarti","Winged Trophon","","","",""
"Solen sicarius","Sickle Jacknife","","","",""
"Tenellia columbiana","British Columbia Aeolid","","","",""
"Testudinalia testudinalis","Tortoiseshell Limpet","","","",""
"Thracia trapezoides","","","","",""
"Tochuina gigantea","Orange-peel Nudibranch","","","",""
"Tonicella insignis","Remarkable Red Chiton","","","",""
"Tonicella lineata","Lined Chiton","","","",""
"Tresus sp.","Gaper Clams","","","",""
"Trichotropis cancellata","Cancellate Hairysnail","","","",""
"Tridonta elliptica","Elliptical Astarte Clam","","","",""
"Triopha catalinae","Clown Dorid","","","",""
"Triopha modesta","Modest Clown Dorid","","","",""
"Tripoplax trifida","Grooved Chiton","","","",""
"Tritonia festiva","Festive Tritonid","","","",""
"Tritonia tetraquetra","Orange Ruffled Tritonid","","","",""
"Velutina velutina","Velvet Shell","","","",""
"Vitreolina columbiana","","","","",""
"Xylophaga washingtona","Washington Woodeater","","","",""
"Yoldia aeolica","Oblique-lined Yoldia","","","",""
"Ziminella japonica","Japanese Aeolid","","","",""
"Alcyonidium gelatinosum","","","","",""
"Alcyonidium pedunculatum","","","","",""
"Bugulina californica","Spiral Bryozoan","","","",""
"Caulibugula californica","","","","",""
"Cellaria diffusa","","","","",""
"Crisia spp.","","","","",""
"Dendrobeania lichenoides","","","","",""
"Dendrobeania murrayana","","","","",""
"Diaperoforma californica","southern staghorn bryozoan","","","",""
"Heteropora pacifica","northern staghorn bryozoan","","","",""
"Lichenopora spp.","","","","",""
"Membranipora serrilamella","lacy crust bryozoan","","","",""
"Microporina borealis","","","","",""
"Phidolopora pacifica","Lattice-Work Bryozoan","","","",""
"Primavelans insculpta","northern fluted bryozoan","","","",""
"Schizoporella japonica","Orange Ripple Bryozoan","","","",""
"Golfingia margaritacea","","","","",""
"Golfingia vulgaris","","","","",""
"Nephasoma diaphanes","","","","",""
"Emplectonema gracile","green ribbon worm","","","",""
"Maculaura aquilonia","","","","",""
"Amphiporus bimaculatus","","","","",""
"Cerebratulus californiensis","","","","",""
"Quasitetrastemma nigrifrons","","","","",""
"Tubulanus albocinctus","","","","",""
"Tubulanus polymorphus","","","","",""
"Tubulanus sexlineatus","","","","",""
"Keratella serrulata","","","","",""
"Keratella ticinensis","","","","",""
"Lepadella ovalis","","","","",""
"Acromegalomma sp.","","","","",""
"Acromegalomma splendidum","","","","",""
"Ampharete finmarchica","","","","",""
"Amphicteis mucronata","","","","",""
"Apomatus geniculatus","","","","",""
"Aporrectodea limicola","","SNA (2024)","Exotic","",""
"Arctonoe fragilis","Frilled Commensal Scaleworm","","","",""
"Arctonoe pulchra","Red Commensal Scaleworm","","","",""
"Arctonoe vittata","Red-banded Commensal Scaleworm","","","",""
"Chaetopterus species complex","","","","",""
"Chaetopterus variopedatus","Fairy Tubeworm","","","",""
"Chone aurantiaca","","","","",""
"Chone minuta","Minute Feather-duster","","","",""
"Crucigera irregularis","Irregular Calcareous Tubeworm","","","",""
"Crucigera zygophora","Yoke-bearer Calcareous Tubeworm","","","",""
"Dendrobaena attemsi","","SNA (2024)","Exotic","",""
"Diopatra ornata","Ornate Tubeworm","","","",""
"Eisenia fetida","Redworm","SNA (2024)","Exotic","",""
"Eudistylia vancouveri","Northern Feather Duster Worm","","","",""
"Eunoe senta","","","","",""
"Euphrosine bicirrata","","","","",""
"Glycinde picta","","","","",""
"Goniada brunnea","","","","",""
"Halosydna brevisetosa","Eighteen-scaled Worm","","","",""
"Harmothoe extenuata","","","","",""
"Hololepida magna","","","","",""
"Idanthyrsus saxicavus","Stone-cave Sandmason Tubeworm","","","",""
"Laonice cirrata","","","","",""
"Lumbricus castaneus","Chestnut Worm","SNA (2024)","Exotic","",""
"Myxicola aesthetica petite","","","","",""
"Myxicola infundibulum","Sand Fan Worm","","","",""
"Neoamphitrite edwardsi","","","","",""
"Nephtys spp.","Nephthys's Sand-worms","","","",""
"Nereis vexillosa","Pile Worm","","","",""
"Onuphis iridescens","","","","",""
"Parasabella media","Parasol Feather-duster","","","",""
"Pectinaria californiensis","","","","",""
"Pectinaria granulata","","","","",""
"Phyllochaeopterus claparedii","","","","",""
"Phyllochaeopterus prolifica","","","","",""
"Phyllodoce spp.","","","","",""
"Pileolaria spp.","","","","",""
"Pista brevibranchiata","","","","",""
"Pista elongata","Basket-top Spaghetti Worm","","","",""
"Protula pacifica","","","","",""
"Pseudochitinopoma occidentalis","Western Calcareous Tubeworm","","","",""
"Sabellaria cementarium","Cemented Sandmason Tubeworm","","","",""
"Schizobranchia insignis","Split-branch Feather Duster Worm","","","",""
"Scoletoma zonata","","","","",""
"Scoloplos armiger","armored bristleworm","","","",""
"Serpula columbiana","Red-trumpet Calcareous Tubeworm","","","",""
"Serpula vermicularis","Red Tubeworm","","","",""
"Spiochaetopterus costarum","Glassy Tubeworm","","","",""
"Sternaspis affinis","Dumbbell Worm","","","",""
"Thelepus spp.","Tangleworms","","","",""
"Tomopteris pacifica","","","","",""
"Tomopteris septentrionalis","","","","",""
"Travisia pupa","","","","",""
"Adocia sp.","","","","",""
"Amphilectus digitatus","Glove Horny Sponge","SNR","Not Reviewed","",""
"Aphrocallistes vastus","Cloud sponge","SNR","Not Reviewed","",""
"Clathria originalis","","SNR","Not Reviewed","",""
"Clathria pennata","Red Velvet Sponge","SNR","Not Reviewed","",""
"Cliona californiana","California Boring Sponge","SNR","Not Reviewed","",""
"Cliona chilensis","","","","",""
"Desmacella austini","","SNR","Not Reviewed","",""
"Desmacella hyalina","","SNR","Not Reviewed","",""
"Geodia mesotriaena","Truckle sponge","SNR","Not Reviewed","",""
"Halichondria bowerbanki","","SNA (2019)","Exotic","",""
"Halichondria panicea","Bread-crumb Sponge","SNR","Not Reviewed","",""
"Haliclona cf. mollis","","SNR","Not Reviewed","",""
"Hamacantha hyaloderma","","SNR","Not Reviewed","",""
"Hamigera sp.","","","","",""
"Heterochone calyx","","SNR","Not Reviewed","",""
"Hexadella sp.","","","","",""
"Homaxinella amphispicula","","SNR","Not Reviewed","",""
"Hymeniacidon sp.","","","","",""
"Hymeraphia stellifera","","SNR","Not Reviewed","",""
"Iophon lamella","","SNR","Not Reviewed","",""
"Iophon nigricans","","SNR","Not Reviewed","",""
"Isodictya rigida","","SNR","Not Reviewed","",""
"Leucilla nuttingi","smooth urn sponge","SNR","Not Reviewed","",""
"Lissodendoryx firma","","SNR","Not Reviewed","",""
"Lycopodina occidentalis","Carnivorous Sponge","SNR","Not Reviewed","",""
"Mycale adhaerens","Smooth Scallop Sponge","SNR","Not Reviewed","",""
"Myxilla incrustans","","SNR","Not Reviewed","",""
"Oceanapia sp.","","","","",""
"Penares cortius","","SNR","Not Reviewed","",""
"Plocamionida lyoni","","SNR","Not Reviewed","",""
"Polymastia pachymastia","Aggregated Nipple Sponge","SNR","Not Reviewed","",""
"Rhabdocalyptus dawsoni","Boot Sponge","SNR","Not Reviewed","",""
"Semisuberites cribrosa","trumpet sponge","SNR","Not Reviewed","",""
"Spongilla lacustris","Lake Sponge","SNR","Not Reviewed","",""
"Staurocalyptus dowlingi","Round-Lipped Boot Sponge","SNR","Not Reviewed","",""
"Suberites latus","Hermit Crab Sponge","SNR","Not Reviewed","",""
"Sycon spp.","Hairy Tube Sponges","","","",""
