"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"83","Neocalyptrella robusta","(G. Norman ex Ralfs) Hernández-Becerril & Meave del Castillo","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Rhizosoleniales","","","Rhizosoleniaceae","","","Neocalyptrella","robusta","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-12-26","Mark Webber","https://www.inaturalist.org/observations/4873124","","493946","ALG"
"84","Nereocystis luetkeana","(K.Mertens) Postels & Ruprecht","","bull kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Lessoniaceae","","","Nereocystis","luetkeana","","","","unlisted","unlisted","","confirmed","observed","1985-07-29","Andy Lamb & Donna Gibbs","PMLS","","","2015-08-28","Lauren Magner","http://www.inaturalist.org/observations/3735010","","120499","ALG"
"85","Nitzschia longissima","(Brébisson) Ralfs","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Bacillariales","","","Bacillariaceae","","","Nitzschia","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-11","Mark Webber","https://www.inaturalist.org/observations/50303688","","469821","ALG"
"86","Octactis speculum","","","golden alga","Chromista","Ochrophyta","","","Dictyochophyceae","","","Dictyochales","","","Dictyochaceae","","","Octactis","speculum","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/48042848","","1073308","ALG"
"87","Odontella aurita","(Lyngbye) C.Agardh","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Triceratiales","","","Triceratiaceae","","","Odontella","aurita","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/50022943","","359948","ALG"
"88","Odontella longicruris","(Greville) M.A. Hoban","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Triceratiales","","","Triceratiaceae","","","Odontella","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/50022381","","472093","ALG"
"89","Paralia sulcata","(Ehrenberg) Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Paraliales","","","Paraliaceae","","","Paralia","sulcata","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-15","Mark Webber","https://www.inaturalist.org/observations/4873115","","203738","ALG"
"90","Petalonia fascia","(O.F.Müller) Kuntze","","false kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Scytosiphonales","","","Scytosiphonaceae","","","Petalonia","fascia","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-05","Bridgette Clarkston","https://www.inaturalist.org/observations/25861435","","117816","ALG"
"91","Pilayella sp.","","","brown tuft","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Acinetosporaceae","","","Pylaiella","","","","","unlisted","unlisted","","reported","unobserved","2006-06-30","Andy Lamb & Donna Gibbs","PMLS","","","","","","","202294","ALG"
"92","Plagiotropis lepidoptera","(W.Gregory) Kuntze","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Naviculales","","","Plagiotropidaceae","","","Plagiotropis","lepidoptera","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-19","Mark Webber","https://www.inaturalist.org/observations/50272686","","485228","ALG"
"93","Planktoniella sol","(G.C. Wallich) Schütt","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Planktoniella","sol","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-07-21","Mark Webber","https://www.inaturalist.org/observations/4873113","","521675","ALG"
"94","Pleurophycus gardneri","Setchell & Saunders ex Tilden","","broad-rib kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Alariaceae","","","Pleurophycus","","","","","unlisted","unlisted","","reported","unobserved","2006-09-29","Andy Lamb & Donna Gibbs","PMLS","","","","","","species distribution includes Salish Sea; authority added","429872","ALG"
"95","Pleurosigma normanii","Ralfs","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Naviculales","","","Pleurosigmataceae","","","Pleurosigma","normanii","","","","unlisted","unlisted","","new 2007","observed","","","","","","2007-07-13","Mark Webber","https://www.inaturalist.org/observations/4873106","","4873106","ALG"
"96","Pseudo-nitzschia cf fraudulenta","(Cleve) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Bacillariales","","","Bacillariaceae","","","Pseudo-nitzschia","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-20","Mark Webber","https://www.inaturalist.org/observations/4873093","","","ALG"
"97","Pterygophora californica","Ruprecht","","old growth kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Alariaceae","","","Pterygophora","","","","","unlisted","unlisted","","reported","unobserved","1994-02-26","Andy Lamb & Donna Gibbs","PMLS","","","","","","species distribution includes Salish Sea; authority added","124146","ALG"
"98","Rhabdonema arcuatum","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Rhabdonematales","","","Rhabdonemataceae","","","Rhabdonema","arcuatum","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-11-26","Mark Webber","https://www.inaturalist.org/observations/4856581","","553701","ALG"
"99","Rhizosolenia setigera f. pungens","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Rhizosoleniales","","","Rhizosoleniaceae","","","Rhizosolenia","","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-12-16","Mark Webber","https://www.inaturalist.org/observations/50055224","","1271514","ALG"
"100","Saccharina latissima","(L.) C.E. Lane, C. Mayes, Druehl & G.W. Saunders","","sugar wrack kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Laminariaceae","","","Saccharina","latissima","","","","unlisted","unlisted","","confirmed","observed","1986-05-25","O. Kaddatz","UBC","A80341","","2016-07-11","Adam Huggins","http://www.inaturalist.org/observations/3684442","","130231","ALG"
"101","Sargassum muticum","(Yendo) Fensholt","","wireweed","Chromista","Ochrophyta","","","Phaeophyceae","","","Fucales","","","Sargassaceae","","","Sargassum","muticum","","","","unlisted","unlisted","","confirmed","observed","1977-11-27","Michael W. Hawkes","UBC","A57506","","2015-08-28","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3735153","","130177","ALG"
"102","Scytosiphon lomentaria","(Lyngbye) Link","","beanweed","Chromista","Ochrophyta","","","Phaeophyceae","","","Scytosiphonales","","","Scytosiphonaceae","","","Scytosiphon","lomentaria","","","","unlisted","unlisted","","new 2017","observed","","","","","","2017-04-08","Tyrel Froese","https://www.inaturalist.org/observations/5620546","","182932","ALG"
"103","Skeletonema japonicum","Zingone & Sarno","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Skeletonemataceae","","","Skeletonema","japonicum","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/50050643","","521234","ALG"
"104","Stephanocystis geminata","(C.Agardh) Draisma, Ballesteros, F.Rousseau & T.Thibaut","","northern bladder chain","Chromista","Ochrophyta","","","Phaeophyceae","","","Fucales","","","Sargassaceae","","","Stephanocystis","","","","","unlisted","unlisted","","reported","unobserved","2006-09-28","Andy Lamb & Donna Gibbs","PMLS","","","","","","reported as Cystoseira geminata","866748","ALG"
"105","Stephanopyxis nipponica","Gran & Yendo","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Melosirales","","","Stephanopyxidaceae","","","Stephanopyxis","nipponica","","","","unlisted","unlisted","","new 2020","observed","","","","","","2020-03-28","Mark Webber","https://www.inaturalist.org/observations/45809431","","488075","ALG"
"106","Stephanopyxis turris","(Greville) Ralfs","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Melosirales","","","Stephanopyxidaceae","","","Stephanopyxis","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/4848947","","484129","ALG"
"107","Striatella unipunctata","(Lyngbye) C. Agardh","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Striatellales","","","Striatellaceae","","","Striatella","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-11-26","Mark Webber","https://www.inaturalist.org/observations/4856581","","372659","ALG"
"108","Thalassionema nitzschioides","(Grunow) Mereschkowsky","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Thalassionematales","","","Thalassionemataceae","","","Thalassionema","nitzschioides","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-15","Mark Webber","https://www.inaturalist.org/observations/50170636","","359995","ALG"
"109","Thalassiosira angustelineata","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Thalassiosira","","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-08-19","Mark Webber","https://www.inaturalist.org/observations/9291115","","470489","ALG"
"110","Thalassiosira gravida","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Thalassiosirophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Thalassiosira","gravida","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-11-03","Mark Webber","https://www.inaturalist.org/observations/50061997","","970151","ALG"
"111","Thalassiosira punctigera","(Castracane) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Thalassionematales","","","Thalassionemataceae","","","Thalassiosira","punctigera","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-12-28","Mark Webber","https://www.inaturalist.org/observations/50064842","","488947","ALG"
"112","Thalassiosira rotula","Meunier","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Thalassiosira","","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-11-03","Mark Webber","https://www.inaturalist.org/observations/50061997","","437514","ALG"
"113","Trigonium arcticum","(Brightwell) Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Stellarimales","","","Trigoniaceae","","","Trigonium","arcticum","","","","unlisted","unlisted","","new 2013","observed","","","","","","2013-01-08","Mark Webber","https://www.inaturalist.org/observations/50128873","","841425","ALG"
"114","Closterium ehrenbergii","Meneghini ex Ralfs","","desmid","Plantae","Charophyta","","","Conjugatophyceae","","","Zygnematales","","","Closteriaceae","","","Closterium","","","","","unlisted","unlisted","","new 2017","observed","","","","","","2017-11-15","Mark Webber","https://www.inaturalist.org/observations/9096764","","470518","ALG"
"115","Closterium praelongum","Brébisson","","desmid","Plantae","Charophyta","","","Conjugatophyceae","","","Zygnematales","","","Closteriaceae","","","Closterium","","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-12-21","Mark Webber","https://www.inaturalist.org/observations/5036392","","526977","ALG"
"116","Micrasterias rotata","Ralfs","","desmid","Plantae","Charophyta","","","Conjugatophyceae","","","Zygnematales","","","Desmidiaceae","","","Micrasterias","","","","","unlisted","unlisted","","new 2016","observed","","","","","","2016-12-18","Mark Webber","https://www.inaturalist.org/observations/4847621","","468235","ALG"
"117","Nitella sp.","","","green alga","Plantae","Charophyta","","","Charophyceae","","","Charales","","","Characeae","","","Nitella","","","","","unlisted","unlisted","","reported","unobserved","2000-06-12","Hans Roemer","ER 128 Inventory","","","","","","","180574","ALG"
"118","Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes","","green rope","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulotrichales","","","Ulotrichaceae","","","Acrosiphonia","coalita","","","","unlisted","unlisted","","confirmed","observed","2009-06-12","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859551","common and has been recorded from here","429957","ALG"
"119","Blidingia minima var. vexata","(Setchell & N.L.Gardner) J.N.Norris","","tiny-tube sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Blidingia","","","","","unlisted","unlisted","","reported","unobserved","2007-12-15","Andy Lamb & Donna Gibbs","PMLS","","","","","","This would be very difficult to identify. Without microscopic images, a voucher or D sequence this record is not verifiable. It is recorded from this area however. If there was collection information it may help","338996","ALG"
"120","Bryopsis corticulans","Setchell","","","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Bryopsidaceae","","","Bryopsis","","","","","unlisted","unlisted","","reported","unobserved","2008","Andy Lamb & Donna Gibbs","PMLS","","","","","","B. corticulans is rare in this area, often found on the outer coast or north coast. Hard to confirm without photo or specimen.","","ALG"
"121","Cladophora columbiana","Collins","","green pin-cushion alga","Plantae","Chlorophyta","","","Ulvophyceae","","","Cladophorales","","","Cladophoraceae","","","Cladophora","columbiana","","","","unlisted","unlisted","","new 2016","observed","","","","","","2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017201","","117775","ALG"
"122","Cladophora sp.","","","sea moss","Plantae","Chlorophyta","","","Ulvophyceae","","","Cladophorales","","","Cladophoraceae","","","Cladophora","","","","","unlisted","unlisted","","reported","unobserved","2013-05-17","Andy Lamb & Donna Gibbs","PMLS","","","","","","","53707","ALG"
"123","Codium fragile","Hariot","","sea staghorn","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Codiaceae","","","Codium","","","","","unlisted","unlisted","","reported","unobserved","1977-11-27","Michael W. Hawkes","UBC","A57498","","","","","cf Codium fragile subsp. californicum (J.Agardh) Maggs & J.Kelly","67555","ALG"
"124","Codium setchellii","N.L.Gardner","","spongy cushion","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Codiaceae","","","Codium","","","","","unlisted","unlisted","","reported","unobserved","1994-10-22","Andy Lamb & Donna Gibbs","PMLS","","","","","","","117776","ALG"
"125","Monostroma grevillei","(Thuret) Wittrock","","sea cellophane","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulotrichales","","","Monostromataceae","","","Monostroma","grevillei","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859558","","465247","ALG"
"126","Prasiola furfuracea","","","green alga","Plantae","Chlorophyta","","","Trebouxiophyceae","","","Prasiolales","","","Prasiolaceae","","","Prasiola","","","","","unlisted","unlisted","","reported","unobserved","1981-11-15","D. Garbary","UBC","A64646","","","","","an Atlantic species only, not in BC key","182814","ALG"
"127","Prasiola meridionalis","Setchell & N.L. Gardner","","short sea lettuce","Plantae","Chlorophyta","","","Trebouxiophyceae","","","Prasiolales","","","Prasiolaceae","","","Prasiola","","","","","unlisted","unlisted","","reported","unobserved","1981-11-15","D. Garbary","UBC","A64665","","","","","","429864","ALG"
"128","Rosenvingiella polyrhiza","(Rosenvinge) P.C. Silva","","green alga","Plantae","Chlorophyta","","","Trebouxiophyceae","","","Prasiolales","","","Prasiolaceae","","","Rosenvingiella","","","","","unlisted","unlisted","","reported","unobserved","1981-11-15","D. Garbary","UBC","A64664","","","","","No update, No UBC accession photo or iNat record to check, but species distribution includes Salish Sea; authority added","410405","ALG"
"129","Trentepohlia cf abietina","(Flotow ex Kützing) Hansgirg","","Trentepohlia algae","Plantae","Chlorophyta","","","Ulvophyceae","","","Trentepohliales","","","Trentepohliaceae","","","Trentepohlia","","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-12-01","Andrew Simon & Mark Webber","https://www.inaturalist.org/observations/36297442","","410585","ALG"
"130","Ulva fenestrata","Postels & Ruprecht","","sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Ulva","fenestrata","","","","unlisted","unlisted","","confirmed","observed","1977-11-27","Michael W. Hawkes","UBC","A57503","","2015-08-28","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/3735172","reported as Ulva lactuca L.","152972","ALG"
"131","Ulva intestinalis","L.","","gutweed","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Ulva","intestinalis","","","","unlisted","unlisted","","confirmed","observed","1996-09-29","Andy Lamb & Donna Gibbs","PMLS","","","2016-06-05","Andrew Simon","http://www.inaturalist.org/observations/3404281","","130197","ALG"
"132","Urospora sp.","","","","Plantae","Chlorophyta","","","Ulvophyceae","","","Codiolales","","","Acrosiphoniaceae","","","Urospora","","","","","unlisted","unlisted","","new 2020","observed","","","","","","2020-04-24","Andrew Simon","https://www.inaturalist.org/observations/43253077","","339056","ALG"
"133","Volvox globator","L.","","green alga","Plantae","Chlorophyta","","","Chlorophyceae","","","Volvocales","","","Volvocaceae","","","Volvox","globator","","","","unlisted","unlisted","","new 2003","observed","","","","","","2003-07-25","Mark Webber","https://www.inaturalist.org/observations/4848832","","474779","ALG"
"134","Amplisiphonia pacifica","Hollenberg 1939","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Rhodomelaceae","","","Amplisiphonia","","","","","unlisted","unlisted","","reported","unobserved","2011","G.W. Saunders & K. Hind","BOLD","KU564427","","","","","""Amplisiphonia pacifica"" Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site (but think this isn't supposed to be accessible, doesn't come up when doing public search for this species). Assuming taxonomy uncertain, putting name in quotes.","1292322","ALG"
"135","Antithamnionella pacifica","(Harvey) E.M.Wollaston","","red alga","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Ceramiaceae","","","Antithamnionella","pacifica","","","","unlisted","unlisted","","confirmed","observed","1977-11-27","Michael W. Hawkes","UBC","A57488","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861010","reported as Antithamnionella pacifica var. pacifica; species distribution includes Galiano","1031132","ALG"
"136","Bonnemaisonia nootkana","(Esper) P.C.Silva","","delicately-branched red seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Bonnemaisoniales","","","Bonnemaisoniaceae","","","Bonnemaisonia","","","","","unlisted","unlisted","","reported","unobserved","2005-12-10","Andy Lamb & Donna Gibbs","PMLS","","","","","","B. nootkana is recorded from the area based on records from herbaria, however it is not included in the keys to the area. This record is difficult to confirm without a photo or specimen.","873866","ALG"
"137","Bossiella orbigniana","(Decaisne) P.C.Silva","","","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Bossiella","","","","","unlisted","unlisted","","reported","unobserved","2011","G.W. Saunders & K. Hind","BOLD","KJ637753","","","","","Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site","","ALG"
"138","Bossiella sp.","","","leaf coral seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Bossiella","","","","","unlisted","unlisted","","confirmed","observed","1985-12-08","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861026","","127155","ALG"
"139","Branchioglossum bipinnatifidum","(Montagne) M.J.Wynne","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Delesseriaceae","","","Branchioglossum","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027448","","","","","Barcoded","","ALG"
"140","Calliarthron sp.","","","leaf coral seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Calliarthron","","","","","unlisted","unlisted","","reported","unobserved","1995-02-26","Andy Lamb & Donna Gibbs","PMLS","","","","","","","127154","ALG"
"141","Calliarthron tuberculosum","(Postels & Ruprecht) E.Y.Dawson","","","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Calliarthron","","","","","unlisted","unlisted","","reported","unobserved","1995","Andy Lamb & Donna Gibbs","PMLS","","","","","","no change (KH). Common here, most likely C. tuberculosum","","ALG"
"142","Callithamnion acutum","Kylin","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Ceramiaceae","","","Callithamnion","acutum","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859555","","895196","ALG"
"143","Callithamnion pikeanum","Harvey","","beauty bush","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Ceramiaceae","","","Callithamnion","","","","","unlisted","unlisted","","reported","unobserved","2006-09-29","Andy Lamb & Donna Gibbs","PMLS","","","","","","Common here and we observed during the Bioblitz","117770","ALG"
"144","Callophyllis crenulata","Setchell","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027457","","","","","Barcoded","345268","ALG"
"145","Callophyllis edentata","Kylin","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","edentata","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861012","","895191","ALG"
"146","Callophyllis flabellulata","Harvey","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","flabellulata","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25860491","","446885","ALG"
"147","Callophyllis heanophylla","Setchell","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027451","","","","","Barcoded","1292323","ALG"
"148","Callophyllis pinnata","Setchell & Swezy in Setchell","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027453","","","","","Barcoded","544812","ALG"
"149","Callophyllis schneideri","Clarkston & G.W.Saunders","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027442","","","","","Barcoded","","ALG"
"150","Callophyllis variforma","Filloramo, Selivanova & G.W.Saunders","","","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027443","","","","","Barcoded","","ALG"
"151","Ceramium gardneri","Kylin","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Ceramiaceae","","","Ceramium","gardneri","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859909","","345256","ALG"
"152","Ceramium pacificum","(Collins) Kylin","","hairy pottery seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Ceramiaceae","","","Ceramium","pacificum","","","","unlisted","unlisted","","confirmed","observed","2006-11-11","Andy Lamb & Donna Gibbs","PMLS","","","2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017037","","429948","ALG"
"153","Chondracanthus exasperatus","(Harvey & Bailey) Hughey","","Turkish towel","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Gigartinaceae","","","Chondracanthus","exasperatus","","","","unlisted","unlisted","","confirmed","observed","1996-04-02","E. McNeil","UBC","A82321","","2015-08-28","Lauren Magner","http://www.inaturalist.org/observations/3734901","","127153","ALG"
"154","Clathromorphum sp.","","","crustose coralline","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Clathromorphum","","","","","unlisted","unlisted","","reported","unobserved","1993-08-16","Andy Lamb & Donna Gibbs","PMLS","","","","","","","326286","ALG"
"155","Constantinea simplex","Setchell","","cup and saucer seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Dumontiaceae","","","Constantinea","simplex","","","","unlisted","unlisted","","confirmed","observed","1995-02-24","Andy Lamb & Donna Gibbs","PMLS","","","2019-12-09","Penelope Bridge-Battle","https://www.inaturalist.org/observations/36661545","","345231","ALG"
"156","Constantinea subulifera","Setchell","","giant cup and saucer seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Dumontiaceae","","","Constantinea","subulifera","","","","unlisted","unlisted","","confirmed","observed","2016-02-07","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-05","Bridgette Clarkston","https://www.inaturalist.org/observations/25927075","","473053","ALG"
"157","Corallina officinalis var. chilensis","Linnaeus","(Decaisne) Kützing","pink feather coralline","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Corallina","","","","","unlisted","unlisted","","reported","unobserved","2006-09-28","Andy Lamb & Donna Gibbs","PMLS","","","","","","","345230","ALG"
"158","Corallina vancouveriensis","Yendo","","graceful coralline","Plantae","Rhodophyta","","","Florideophyceae","","","Corallinales","","","Corallinaceae","","","Corallina","","","","","unlisted","unlisted","","reported","unobserved","1995-02-24","Andy Lamb & Donna Gibbs","PMLS","","","","","","","126448","ALG"
"159","Cryptopleura lobulifera","(J.Agardh) Kylin","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Delesseriaceae","","","Cryptopleura","","","","","unlisted","unlisted","","reported","unobserved","1999","Andy Lamb & Donna Gibbs","PMLS","","","","","","no change (KH). Has been found in this area, but difficult to confirm. It is noted as being rare in the local area in the key.","","ALG"
"160","Cryptopleura ruprechtiana","(J.Agardh) Kylin","","hidden rib","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Delesseriaceae","","","Cryptopleura","ruprechtiana","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861039","","327014","ALG"
"161","Cryptopleura sp.","","","","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Delesseriaceae","","","Cryptopleura","","","","","unlisted","unlisted","","confirmed","observed","1999-10-02","Andy Lamb & Donna Gibbs","PMLS","","","2016-08-21","Tyrel Froese","http://www.inaturalist.org/observations/4005089","","243907","ALG"
"162","Cryptosiphonia woodii","(J.Agardh) J.Agardh","","dark branching-tube seaweed","Plantae","Rhodophyta","","","Florideophyceae","","","Gigartinales","","","Dumontiaceae","","","Cryptosiphonia","woodii","","","","unlisted","unlisted","","confirmed","observed","2009-03-20","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-04","John D. Reynolds","https://www.inaturalist.org/observations/24708735","","117777","ALG"
"163","Cumathamnion decipiens","(J.Agardh) M.J.Wynne & G.W.Saunders","","winged rib","Plantae","Rhodophyta","","","Florideophyceae","","","Ceramiales","","","Delesseriaceae","","","Cumathamnion","decipiens","","","","unlisted","unlisted","","confirmed","observed","2002-03-23","Andy Lamb & Donna Gibbs","PMLS","","","2021-03-13","Dave “Zeuss” Cochrane","https://inaturalist.ca/observations/71178850","reported as Delesseria decipiens","496909","ALG"
