"","area","TaxonName","presence","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon","Family"
"236","saanich","Carex macrocephala",1,"Sandy beaches and dunes; common throughout.","","","","Carex macrocephala","Cyperaceae"
"237","saanich","Carex obnupta",1,"Wet ground; sporadic; Beaver and Prospect Lakes and West Saanich.","","","","Carex obnupta","Cyperaceae"
"238","saanich","Carex pachystachya",1,"Moist ground along the coast; sporadic throughout; festivella deleted name, submerged in C. pachystachya","","""Note on original Saanich Pen C. festivella entry, all now C.p."" HJ","HJ","Carex pachystachya","Cyperaceae"
"239","saanich","Carex pallescens",1,"FNA range Eastern NA. Not known from area.","","""Carex pallescens from Galiano is interesting. Maybe ask Andrew if he can confirm this and make a collection for UBC if he has not yet done this."" FL ""Here’s his iNat obs https://www.inaturalist.org/observations/12944880 I’ll send him a note asking for confirmation."" HJ; confirm for Saanich Peninsula –AS","FL, HJ, AS","Carex pallescens","Cyperaceae"
"240","saanich","Carex pansa",1,"Trial Island, HLR.","","","","Carex pansa","Cyperaceae"
"241","saanich","Carex pauciflora",1,"TMCT shows dot. Location of voucher? Looks like Saltspring. Not found at V.","","","","Carex pauciflora","Cyperaceae"
"242","saanich","Carex pellita",1,"TCB collection from Ascot & Queens, Saanich. (Ascot and Queensbury ? Cedar Hill Golf Course same location as A&OC C. pellita collection 1976?)","","","","Carex pellita","Cyperaceae"
"243","saanich","Carex pendula",1,"FL Shingle Cove 2014. J. Miskelly Galloping Goose Trail 2011.","","","","Carex pendula","Cyperaceae"
"244","saanich","Carex petasata",1,"Also listed by Henry for Victoria. TMCT shows no Penninsula collections. No voucher found at V. Alberni only coast collection. CDC Explorer mostly east of Cascades.","","""I would delete these until confirmed. They are all doubtful to me: C. petasata"" FL ""already on excluded list"" HJ","FL, HJ","Carex petasata","Cyperaceae"
"245","saanich","Carex phaeocephala",1,"AC says misidentified (id?)","","""I would delete these until confirmed. They are all doubtful to me: C. phaeocephala"" FL ""already on excluded list"" HJ","FL, HJ","Carex phaeocephala","Cyperaceae"
"246","saanich","Carex praticola",1,"Open meadow; rare; collected at Royal Oak by G. A. Hardy in 1951 ,and at Sidney by J. Macoun in 1913. A&O Ceska collected at King's Pond Sanctuary off Ascott Road.1986, Gonzales Hill and Uplands Park1976,.","","","","Carex praticola","Cyperaceae"
"247","saanich","Carex rossii",1,"A&OC Esquimalt Golf Course 1976","","","","Carex rossii","Cyperaceae"
"248","saanich","Carex scirpoidea var. stenochlaena",1,"Misid AC. TMCT shows no. (id?) Usually alpine.","","""I would delete these until confirmed. They are all doubtful to me: C. scirpoidea"" FL ""Already on excluded list"" HJ","FL, HJ","Carex scirpoidea stenochlaena","Cyperaceae"
"249","saanich","Carex scoparia",1,"Collected by G.V. Copley at Goldstream, 1920. A&O Ceska collection (location?) 1972","","","","Carex scoparia","Cyperaceae"
"250","saanich","Carex spectabilis",1,"Damp woods; rare; collected at Goldstream Park by M. C. Melburn in 1955 and 1956.Usually subalpine to alpine.-Melburn vouchers re-identified as C. lyngbyei and C. aurea (?)","","""I would delete these until confirmed. They are all doubtful to me: C. spectabilis"" FL ""Already on excluded list"" HJ","FL, HJ","Carex spectabilis","Cyperaceae"
"251","saanich","Carex stipata",1,"Several collections for Saanich and Sidney.","","","","Carex stipata","Cyperaceae"
"252","saanich","Carex tenera",1,"Voucher for Cedar Hill at CAN. All other records on CDC Explorer interior.","","""I would delete these until confirmed. They are all doubtful to me: C. tenera"" FL ""This is from Bob Ogilvie’s check at CAN for Tommy Taylor’s Carex of BC. Location error?"" HJ","FL, HJ","Carex tenera","Cyperaceae"
"253","saanich","Carex tumulicola",1,"Uplands Park, Ten Mile point vacant lot. Oluna Ceska coll Mt. Tolmie June 2003. Grassland/Herbaceous, Shrubland throughout southern part of Peninsula and Sidney Spit.","","","","Carex tumulicola","Cyperaceae"
"254","saanich","Carex unilateralis",1,"Several collections for Penninsula, Prospect Lake, Fort Rood Hill, Thetis Lake, Spenser Pond, Royal Oak","","","","Carex unilateralis","Cyperaceae"
"255","saanich","Carex utriculata",1,"C. rostrata and utriculata close. recheck vouchers.Royal Oak Bog, Third Lake, Island View Beach, Kings Pond, Rithets Bog, Observatory Hill, Prospect Lake.","","","","Carex utriculata","Cyperaceae"
"256","saanich","Carex vesicaria",1,"Melburn voucher not found. No herbarium records for Saanich Peninsula found.","","","","Carex vesicaria","Cyperaceae"
"257","saanich","Carex viridula",1,"Bogs; rare; Elk Lake and Thetis Lake Park. Several additional records for Penninsula.","","","","Carex viridula","Cyperaceae"
"258","saanich","Carex vulpinoidea",1,"Swampy ground; rare; collected at Goldstream by G. V. Copley in 1920.","","","","Carex vulpinoidea","Cyperaceae"
"259","saanich","Carex zikae",1,"HLR Mt Work 1996. TMCT reidentified Macoun collection (as deflexa?).","","","","Carex zikae","Cyperaceae"
"260","saanich","Carum carvi",1,"Native of Europe; roadsides and meadows; sporadic throughout.","","","","Carum carvi","Apiaceae"
"261","saanich","Castilleja ambigua",1,"Salty marshes and grassy places along the Coast; sporadic at Oak Bay, Ten Mile Point, and Sidney. No records showning on CDC Explorer.MF Trial Island 2000.","","","","Castilleja ambigua","Orobanchaceae"
"262","saanich","Castilleja angustifolia",1,"Excluded name TMCT. No collections at V currently named this taxa.","","","","Castilleja angustifolia","Orobanchaceae"
"263","saanich","Castilleja attenuata",1,"Open, grassy places; occasional at Oak Bay, Ten Mile Point, Mount Tolmie, Mount Douglas, Thetis Lake Park, Mill Hill, and Mount Finlayson.","","","","Castilleja attenuata","Orobanchaceae"
"264","saanich","Castilleja exserta var. exserta",1,"H&C2018 note native to SW US and Baja collected as waif in King and Pierce Cos., WA 1891-92.","","","","Castilleja exserta exserta","Orobanchaceae"
"265","saanich","Castilleja hispida",1,"Grassy slopes, forest openings, and rocky outcrops; sporadic in suitable habitats.","","","","Castilleja hispida","Orobanchaceae"
"266","saanich","Castilleja levisecta",1,"Open grassland; Beacon Hill and Foul Bay; occasional along Dallas Road, Victoria, Lost Lake, and Sidney. Trial Island. Introduced translocation Little D'arcy Island.","","","","Castilleja levisecta","Orobanchaceae"
"267","saanich","Castilleja miniata var. dixonii",1,"Open sea bluffs and exposed grassy beaches; possibly C. Miniata var. dixonii (Fernald) A. Nelson & J.F. Macbr.","","","","Castilleja miniata dixonii","Orobanchaceae"
"268","saanich","Castilleja victoriae",1,"Harling Point, Gonzales Point, Cattle Point, Ten Mile Point, Trial Island.","","","","Castilleja victoriae","Orobanchaceae"
"269","saanich","Centaurea calcitrapa",1,"European and African appearing on ballast. No voucher found. On Lomer & Penny's non-established list.","","","","Centaurea calcitrapa","Asteraceae"
"270","saanich","Centaurea cyanus",1,"Native of Europe; fields, roadsides, and waste places; cultivated as an ornamental and now established throughout.","","","","Centaurea cyanus","Asteraceae"
"271","saanich","Centaurea diffusa",1,"Marr roadside Colwood 2007. iNaturalist observation Esquimalt 2020.","","","","Centaurea diffusa","Asteraceae"
"272","saanich","Centaurea jacea",1,"GD excluded one collection at Cedar Hill.","","","","Centaurea jacea","Asteraceae"
"273","saanich","Centaurea melitensis",1,"Native of Europe; listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands; Esquimalt; specimen not examined. No voucher found.","","","","Centaurea melitensis","Asteraceae"
"274","saanich","Centaurea montana",1,"Krajina, Spilsbury and Szczawinski Finlayson Point 1950. Bennet Avebury Ave. 2015. Many iNaturalist reports for peninsula throughout.","","","","Centaurea montana","Asteraceae"
"275","saanich","Centaurea nigra",1,"Native of Europe; fields and waste places; sporadic throughout. Marr Galloping Goose Trail 2007.","","","","Centaurea nigra","Asteraceae"
"276","saanich","Centaurea nigrescens",1,"Native of Europe; published in the Provincial Museum Report (1921) as occurring in Victoria; specimen not examined. Fenneman Metchosin 2006.","","","","Centaurea nigrescens","Asteraceae"
"277","saanich","Centaurea stoebe",1,"Native of Europe; roadsides and waste places; sporadic weed throughout.","","","","Centaurea stoebe","Asteraceae"
"278","saanich","Centaurium erythraea",1,"Native of Europe; on moist, waste land and grassy, exposed places; rare. No vouchers found. Several iNaturalist observations for area.","","","","Centaurium erythraea","Gentianaceae"
"279","saanich","Centranthus ruber",1,"Marr Point Hope shipyard, disturbed gravel 2003, FL same, on sea rocks 2007. This species is now abundant along Galloping Goose Trail N of Point Hope shipyard and clearly reproducing (K. Marr pers. Comm. May 2013)","","","","Centranthus ruber","Caprifoliaceae"
"280","saanich","Cephalanthera austiniae",1,"Restricted locations Deep Cove HLR, Horth Hill, Colwood, Brentwood Bay.","","","","Cephalanthera austiniae","Orchidaceae"
"281","saanich","Cerastium arvense ssp. strictum",1,"Grassy flats; rocky hillsides and dry to moist grassland; common throughout.","","","","Cerastium arvense strictum","Caryophyllaceae"
"282","saanich","Cerastium brachypodum",1,"Moist ground; rare; Victoria and Oak Bay. TCB Griffen Island 1992.","","","","Cerastium brachypodum","Caryophyllaceae"
"283","saanich","Cerastium fontanum ssp. vulgare",1,"Lawns and gardens; weedy and common throughout.","","","","Cerastium holosteoides","Caryophyllaceae"
"284","saanich","Cerastium glomeratum",1,"Disturbed ground, fields and waste places throughout.","","","","Cerastium glomeratum","Caryophyllaceae"
"285","saanich","Cerastium pumilum",1,"Many collections trroughout peninsula FL and A&OC.","","","","Cerastium pumilum","Caryophyllaceae"
"286","saanich","Cerastium semidecandrum",1,"Banks and slopes near the sea; sporadic; Victoria, Cadboro Bay, Thetis Lake Park Fort Rodd Hill, Sidney Island.","","","","Cerastium semidecandrum","Caryophyllaceae"
"287","saanich","Cerastium tomentosum",1,"Native of Europe; grown commonly as a rock-garden plant, often escaping; sporadic; in Victoria and Saanich.","","","","Cerastium tomentosum","Caryophyllaceae"
"288","saanich","Ceratophyllum demersum",1,"Lakes and ponds; sporadic; Swan, Blenkinsop, Beaver, Elk, and Langford Lakes, where it is sometimes very abundant forming solid mats just below the surface of shallow water.","","","","Ceratophyllum demersum","Ceratophyllaceae"
"289","saanich","Ceratophyllum echinatum",1,"Restricted locations Harcomb, Warrington, Ceska. Prospect Lake, Thetis Lake areas.","","","","Ceratophyllum echinatum","Ceratophyllaceae"
"290","saanich","Chamaenerion angustifolium",1,"Open areas, thickets, along roads and waste places; very common throughout; weedy species.","","","","Chamaenerion angustifolium","Onagraceae"
"291","saanich","Chenopodiastrum murale",1,"Anderson's 1917 collection is a poor specmen. FL vacant lot Oak Bay 2009. Waters Uplands Park iNaturalist report 2019.","","","","Chenopodiastrum murale","Amaranthaceae"
"292","saanich","Chenopodiastrum murale",1,"F of NA range map show only East US and Canada.Vouchers? FL vacant lot, Oak Bay 2009 reported as C. murale. On Lomer & Penny's non-established list. Also on excluded list. Waif?","","","","Chenopodiastrum murale","Amaranthaceae"
"293","saanich","Chenopodiastrum simplex",1,"Collections? None on CPNWH - many Vancouver and valley","","","","Chenopodiastrum simplex","Amaranthaceae"
"294","saanich","Chenopodium album",1,"Native of Eurasia; garden and waste places; naturalized and a very common weed throughout.","","","","Chenopodium album","Amaranthaceae"
"295","saanich","Chenopodium berlandieri var. zschackei",1,"Taylor Victoria 1912 - re-examine C. album colls from area.","","","","Chenopodium berlandieri zschackei","Amaranthaceae"
"296","saanich","Chimaphila menziesii",1,"Moist woods; rare; collected only in Saanich by G. A. Hardy in 1943. Robinson iNaturalist report Goldstream 2020.","","","","Chimaphila menziesii","Ericaceae"
"297","saanich","Chimaphila umbellata ssp. umbellata",1,"Open or dense coniferous forest; occasional throughout.","","","","Chimaphila umbellata umbellata","Ericaceae"
"298","saanich","Cichorium intybus",1,"Native of Eurasia; roadsides and waste places; common throughout.","","","","Cichorium intybus","Asteraceae"
"299","saanich","Cicuta douglasii",1,"Edges of streams and ditches; Beaver and Swan Lakes, Rithet's Bog, and the Highland district; abundant locally; this plant is highly poisonous to man and live stock.","","","","Cicuta douglasii","Apiaceae"
"300","saanich","Cinna latifolia",1,"Wet areas; rare; sporadic in Sidney and Goldstream","","","","Cinna latifolia","Poaceae"
"301","saanich","Circaea alpina ssp. pacifica",1,"Cool, damp woods; occasional throughout in suitable habitat.","","","","Circaea alpina pacifica","Onagraceae"
"302","saanich","Cirsium arvense",1,"Native of Eurasia; a noxious weed of fields and waste places throughout.","","","","Cirsium arvense","Asteraceae"
"303","saanich","Cirsium brevistylum",1,"Moist places and ditches; sporadic; Victoria, Elk Lake, Langford, and Goldstream.","","","","Cirsium brevistylum","Asteraceae"
"304","saanich","Cirsium edule var. macounii",1,"Wet meadows and moist, open woods; occasional in Goldstream and Langford.","not in FPNW2","","","Cirsium edule macounii","Asteraceae"
"305","saanich","Cirsium vulgare",1,"Native of Europe; widely established as a weed throughout.","","","","Cirsium vulgare","Asteraceae"
"306","saanich","Cistus creticus",1,"FL and HLR Natural Garry oak knoll, on grassy meadow shrubby slope with understory of Symphoricarpos albus, Mahonia aquifolium, Cytisus scoparius, Colwood 2014. Colwood iNaturalist observation 2021 - appears naturalized","not in FPNW2","","","Cistus creticus","Cistaceae"
"307","saanich","Clarkia amoena",1,"Dry, open ground; occasional throughout; abundant at Mount Douglas, Observatory Hill, West Saanich, and Thetis Lake Park.","","","","Clarkia amoena","Onagraceae"
"308","saanich","Clarkia quadrivulnera",1,"HLR Mill Hill 2014.","","","","Clarkia purpurea quadrivulnera","Onagraceae"
"309","saanich","Claytonia exigua ssp. exigua",1,"Dry, sandy ground; occasional throughout.","","","","Claytonia exigua exigua","Montiaceae"
"310","saanich","Claytonia parviflora",1,"Several collections for area including Harrison Mill Hill 1967.","","","","Claytonia parviflora","Montiaceae"
"311","saanich","Claytonia perfoliata",1,"Open to shady, moist ground; extremely variable and common throughout. A number of segregates have been recognized, but there are no geographic races evident within the complex.","","","","Claytonia perfoliata","Montiaceae"
"312","saanich","Claytonia rubra",1,"Many collection throughout. Shoreline to exposed cliffs and mountain tops.","","","","Claytonia rubra","Montiaceae"
"313","saanich","Claytonia saxosa",1,"Claytonia rubra ? No other records north of southern Oregon found.","not in FPNW2","","","Claytonia saxosa","Montiaceae"
"314","saanich","Claytonia sibirica",1,"Moist woods and thickets; common throughout.","","","","Claytonia sibirica","Montiaceae"
"315","saanich","Clematis vitalba",1,"Many iNaturalist observations for area. No herbarium records found.","","","","Clematis vitalba","Ranunculaceae"
"316","saanich","Clinopodium douglasii",1,"Dry, open woods throughout the area.","","","","Clinopodium douglasii","Lamiaceae"
"317","saanich","Collinsia grandiflora",1,"Widely distributed on a variety of open, seasonally wet habitats.","","","","Collinsia grandiflora","Plantaginaceae"
"318","saanich","Collinsia parviflora",1,"Widely distributed on a variety of open, seasonally wet habitats.","","","","Collinsia parviflora","Plantaginaceae"
"319","saanich","Collomia grandiflora",1,"Dry, open ground; occasional at Victoria, Saanich, and the Sidney district.","","","","Collomia grandiflora","Polemoniaceae"
"320","saanich","Collomia heterophylla",1,"Open ground, roads, and thickets; Saanich, Goldstream, and the Highland district.","","","","Collomia heterophylla","Polemoniaceae"
"321","saanich","Collomia linearis",1,"Open, dry to moderately moist areas; Gordon Head, Thetis Lake, Mill Hill, Goldstream.","","","","Collomia linearis","Polemoniaceae"
"322","saanich","Comandra umbellata ssp. californica",1,"Dry, open ground; rare; Elk Lake, Colwood, and Langford; Mill Hill Harrison 1973. Several iNaturalist reports Mill Hill.","","","","Comandra umbellata californica","Santalaceae"
"323","saanich","Comarum palustre",1,"Bogs, wet meadows, and lake margins; Beaver, Swan, Prospect, and Thetis Lakes.","","","","Comarum palustre","Rosaceae"
"324","saanich","Conioselinum pacificum",1,"Sandy beaches and bluffs; locally abundant in suitable habitats.","","","","Conioselinum gmelinii","Apiaceae"
"325","saanich","Conium maculatum",1,"Native of Eurasia; roadsides, ditches, and disturbed places; poisonous; established as a weed in many areas throughout; the hemlock of classical antiquity.","","","","Conium maculatum","Apiaceae"
"326","saanich","Conringia orientalis",1,"Native of Europe; rare; known from Swartz Bay, where it was collected by M. C. Melburn in 1959. Macoun Marine Drive, Sidney 1913.","","","","Conringia orientalis","Brassicaceae"
"327","saanich","Convolvulus arvensis",1,"Native of Europe; fields and disturbed ground; very common; considered to be one of the worst weeds in the area.","","","","Convolvulus arvensis","Convolvulaceae"
"328","saanich","Conyza canadensis",1,"Waste places and disturbed soil; occasional throughout.","","","","Erigeron canadensis","Asteraceae"
"329","saanich","Corallorhiza maculata var. occidentalis",1,"Moist or dry coniferous forest throughout.","","","","Corallorhiza maculata occidentalis","Orchidaceae"
"330","saanich","Corallorhiza maculata var. ozettensis",1,"Francis King Regional Park Batten 2018.","","","","Corallorhiza maculata ozettensis","Orchidaceae"
"331","saanich","Corallorhiza mertensiana",1,"Moist to semidry coniferous forest; not as common as C. maculata; occasional throughout. View Royal, Glen Lake.","","","","Corallorhiza mertensiana","Orchidaceae"
"332","saanich","Corallorhiza striata var. striata",1,"Moist coniferous forest, shaded ravines and canyons; occasional throughout.","","","","Corallorhiza striata striata","Orchidaceae"
"333","saanich","Corallorhiza trifida",1,"Rare; known from the Highland district, where it was collected by A. F. Szczawinski in 1958. A Ceska has recent collection. CDC Explorer no records for coast.","","","","Corallorhiza trifida","Orchidaceae"
"334","saanich","Cornus canadensis",1,"Moist woods; sporadic and becoming rare; Royal Oak; Sidney, Goldstream, and Langford.","","","","Cornus canadensis","Cornaceae"
"335","saanich","Cornus nuttallii",1,"Wooded to open places; common throughout the area.","","","","Cornus nuttallii","Cornaceae"
"336","saanich","Cornus occidentalis",1,"TMCT Sidney 1941 - rechech all vouchers for area comp stolonifera/occidentalis","","","","Cornus sericea occidentalis","Cornaceae"
"337","saanich","Cornus stolonifera",1,"Moist places along streams and boggy areas; common throughout in suitable habitats.","","","","Cornus sericea","Cornaceae"
"338","saanich","Cortaderia selloana",1,"Marr Veteran's Memorial Parkway, Langford 2008. Established?","","","","Cortaderia selloana","Poaceae"
"339","saanich","Corydalis aurea",1,"Rare; known only from Victoria, where it was collected by M. C. Melburn in 1958, possibly escaped from cultivation.","","","","Corydalis aurea","Papaveraceae"
"340","saanich","Corydalis scouleri",1,"Moist, shady places; very rare; known only from Old West Saanich Road, where it was collected by M. C. Melburn in 1959. West side Vancouver Island normal range.","","","","Corydalis scouleri","Papaveraceae"
"341","saanich","Corylus cornuta ssp. californica",1,"Open to shady woods, along streams; frequent in the Langford, Highland, and Goldstream areas, occasional in Central and North Saanich. A&OC Spencer Pond, Langford 1998.","","","","Corylus cornuta californica","Betulaceae"
"342","saanich","Cota tinctoria",1,"Native of Europe; an occasional escapee from cultivation.","","","","Cota tinctoria","Asteraceae"
"343","saanich","Cotoneaster Medik",1,"Horizontalis most likely to be found. FL C. franchetii Coal Island 2005. A&OC C. franchetii Gooch Island 1982. Zika C.simonsii Fort Rodd Hill 2006. Zika C. ×suecicus Galloping Goose Trail 2006. Zika C. mairei Rithets Bog 2007. Zika C. dielsianus 2006. Zika C. rehderi Cattle Point 2006. Many iNaturalist observations of C. lacteus W.W.Sm. and C.simonsii Baker Victoria and Oak Bay but no information on naturalization. Several C. franchetii observations Mt Douglas Park.","","","",NA,NA
"344","saanich","Cotula coronopifolia",1,"Native of South Africa; tidal flats and moist places; common in Sidney and Goldstream and sporadic throughout in suitable habitats.","","","","Cotula coronopifolia","Asteraceae"
"345","saanich","Crassula connata",1,"Witheld locations FL, AC, HLR. Cattle Point, Sidney Island,Rum Island.","","","","Crassula connata","Crassulaceae"
"346","saanich","Crassula tillaea",1,"iNaturalist post Fisgard Lighthouse, Colwood. HJ collections Sidney to Sooke. Commonly gravelly roadsides in RV parks.FL collections throughout peninsula.","","","","Crassula tillaea","Crassulaceae"
"347","saanich","Crataegus douglasii",1,"Coastal bluffs, meadow lands, open forests, and thickets; abundant throughout.","","","","Crataegus douglasii","Rosaceae"
"348","saanich","Crataegus gaylussacia",1,"TCB E side of Beaver Lake. Lower edge of Douglas fir woods by lakeside trail. Swampy shores of Elk and Beaver Lakes and interlake channel. Zika Sidney 2003. Krajina Highlands 1968. A&OC Prospect Lake 1999. TCB Uplands Park 1991.","","","","Crataegus gaylussacia","Rosaceae"
"349","saanich","Crataegus laevigata",1,"Native of Europe; much less common than C. monogyna; escapee from cultivation.","","","","Crataegus laevigata","Rosaceae"
"350","saanich","Crataegus monogyna",1,"Native of Europe; escapee from cultivation and established in many areas.","","","","Crataegus monogyna","Rosaceae"
"351","saanich","Crepis capillaris",1,"Native of Europe; established as a weed of pastures, lawns, and waste places throughout.","","","","Crepis capillaris","Asteraceae"
"352","saanich","Crepis intermedia",1,"Melburn's Island View Beach collections misidentified; not present GD..","","","","Crepis intermedia","Asteraceae"
"353","saanich","Crepis modocensis",1,"Melburn's Island View Beach collections misidentified; not present GD.","","","","Crepis modocensis","Asteraceae"
"354","saanich","Crepis runcinata",1,"Melburn's Island View Beach collections misidentified; not present GD.","","","","Crepis runcinata","Asteraceae"
"355","saanich","Crocidium multicaule",1,"Sandy places; rare; collected by M. C. Melburn at Mount Finlayson in 1960 and A. F. Szczawinski at Island View Beach in 1968. A&OC Skirt Mountain 1975, 2018. A&OC Joycelyn Hill 1989.","","","","Crocidium multicaule","Asteraceae"
"356","saanich","Crocus vernus",1,"Baxter James Bay park at corner of Douglas & Southgate streets 2016. Naturalized? Several iNaturalist observations Victoria and Oak Bay of C. tommasinianus Herb. , C. vernus (L.)Hill and C. ×stellaris Haw. - no information on naturalization.","","","","Crocus vernus","Iridaceae"
"357","saanich","Cryptantha torreyana",1,"Dry, open places; rare; Royal Oak and Esquimalt. Check at V, not found on CDC Explorer. No coast collections CPNWH","","","","Cryptantha torreyana","Boraginaceae"
"358","saanich","Cryptogramma acrostichoides",1,"Talus slopes, ledges, and crevices; Goldstream and Langford areas. No vouchers found at V. Beamish Teanook Lake 1961. A&OC Braemar Peak, Langford 1976","","","","Cryptogramma acrostichoides","Pteridaceae"
"359","saanich","Cuscuta cephalanthi",1,"FL 2002 Goldstream salt marsh parasitic on Symphyotrichum subspicatus. MCM same 1955-1957.","","","","Cuscuta cephalanthi","Convolvulaceae"
"360","saanich","Cuscuta pacifica var. pacifica",1,"Mostly on Salicornia in salt marshes along the Coast; locally abundant.","","","","Cuscuta pacifica pacifica","Convolvulaceae"
"361","saanich","Cuscuta pentagona",1,"On a variety of hosts; restricted to Goldstream and not collected outside this area. No vouchers found. All nearby collections associated with garden plants.","","","","Cuscuta pentagona","Convolvulaceae"
"362","saanich","Cyclamen hederifolium",1,"HLR Thetis lake 2008, FL Camrose Park 2014, FL W Saanich Road 2012. Several iNaturalist observations for peninsula.","","","","Cyclamen hederifolium","Primulaceae"
"363","saanich","Cynodon dactylon",1,"Known only from the Outer Wharf, where it was collected by J. Fletcher in 1898 and Braefoot, Saanich, by G. A. Hardy in 1943.","","","","Cynodon dactylon","Poaceae"
"364","saanich","Cynosurus cristatus",1,"Fields, roadsides and waste places; common throughout.","","","","Cynosurus cristatus","Poaceae"
"365","saanich","Cynosurus echinatus",1,"Common in open ground; Uplands, Saanich, Mount Douglas, and Thetis Lake Parks.","","","","Cynosurus echinatus","Poaceae"
"366","saanich","Cyperus esculentus",1,"Pinder-Moss roadside Landsdowne Rd, Oak Bay 2009.","","","","Cyperus esculentus","Cyperaceae"
"367","saanich","Cypripedium montanum",1,"Very rare; the only known record for the area came from Cordova Bay; now believed to be extinct on the peninsula.","","","","Cypripedium montanum","Orchidaceae"
"368","saanich","Cystopteris fragilis",1,"Shady woods, moist rocky slopes and crevices; common throughout.","","","","Cystopteris fragilis","Cystopteridaceae"
"369","saanich","Cytisus multiflorus",1,"Bennet & Fairbarns Uplands Park 2017. Open Quercus garryana meadows in shallow bedrock with Anthoxanthum odoratum, Holcus lanatus, Aira caryophyllea, and Camassia quamash.","","","","Cytisus multiflorus","Fabaceae"
"370","saanich","Cytisus scoparius",1,"Native of Europe; a very aggressive species, spreading rapidly in dry, open habitat; difficult to eradicate; f. andreamus (Puissant) Zabel with maroon-tipped wings occurs sporadically.","","","","Cytisus scoparius","Fabaceae"
"371","saanich","Cytisus villosus",1,"FL corner of Southgate Street and Blanshard Streeet, across from Beacon Hill Park 2014. Six clumps and a little plant, none apparently planted.","not in FPNW2","","","Cytisus villosus","Fabaceae"
"372","saanich","Dactylis glomerata",1,"Native of Eurasia; very common on a variety of habitats throughout; a very tolerant species and often weedy.","","","","Dactylis glomerata","Poaceae"
"373","saanich","Dactylorhiza viridis",1,"No voucher found at V. Nearest collection Lake Cowchin.","","","","Dactylorhiza viridis","Orchidaceae"
"374","saanich","Danthonia californica",1,"Meadows and open woods; the typical phase and var. americana (Scribn.) A. S. Hitchc. are sporadic in the Uplands and Mount Douglas Park. (D. americana Scribn., D. macounii A. S. Hitchc.)","","","","Danthonia californica","Poaceae"
"375","saanich","Danthonia intermedia",1,"No voucher found at V for Henery's report. HLR Mt McDonald 1996.","","","","Danthonia intermedia","Poaceae"
"376","saanich","Danthonia spicata",1,"Sterile and rocky places; rare; known from the Uplands where it was collected by M. C. Melburn in 1957. Melburn voucher not located. AC collection Mt Jeffery on Malahat 1999.","","","","Danthonia spicata","Poaceae"
"377","saanich","Danthonia unispicata",1,"MCM Thetis Lake 1975. HLR Mt McDonald, Langford 1996.","","","","Danthonia unispicata","Poaceae"
"378","saanich","Daphne laureola",1,"Native of Europe; escapee from cultivation and becoming quite common in wooded and shady places throughout.","","","","Daphne laureola","Thymelaeaceae"
"379","saanich","Datura innoxia",1,"Marr roadside W Saanich Rd 2006.","","","","Datura innoxia","Solanaceae"
"380","saanich","Datura stramonium",1,"Introduced; occasional in waste places. RTO Dallas Road 1980.","","","","Datura stramonium","Solanaceae"
"381","saanich","Daucus carota",1,"Native of Eurasia; open, grassy places; very common throughout.","","","","Daucus carota","Apiaceae"
"382","saanich","Daucus pusillus",1,"Dry, open places; occasional; Saanich and Thetis Lake Park.","","","","Daucus pusillus","Apiaceae"
"383","saanich","Delphinium ajacis",1,"Marr Langford Highway 2007","","","","Consolida ajacis","Ranunculaceae"
"384","saanich","Delphinium menziesii",1,"Coastal bluffs, grassy meadows, and wooded dry places; common throughout in suitable habitats.","","","","Delphinium menziesii","Ranunculaceae"
"385","saanich","Deschampsia cespitosa ssp. beringensis",1,"Bogs and wet places; rare; collected at Oak Bay by J. Macoun in 1913 and Saanichton by W. R. Foster in 1939. Reported Trial Island Ecological Reserve proposal. Several iNaturalist reports for area.","not in FPNW2","","","Deschampsia cespitosa beringensis","Poaceae"
"386","saanich","Deschampsia danthonioides",1,"Open ground; sporadic in Victoria, Royal Oak, and Sidney.","","","","Deschampsia danthonioides","Poaceae"
"387","saanich","Deschampsia elongata",1,"Open ground; occasional; Royal Oak, Saanichton, and the East Saanich Indian Reserve.","","","","Deschampsia elongata","Poaceae"
"388","saanich","Descurainia pinnata ssp. brachycarpa",1,"Occasional weed; extremely variable in habit.","","","","Descurainia pinnata brachycarpa","Brassicaceae"
"389","saanich","Descurainia sophia",1,"Native of europe; waste places; a sporadic weed here. Brackman-Kerr 1941 unspecified location Victoria.","","","","Descurainia sophia","Brassicaceae"
"390","saanich","Dianthus armeria",1,"Native of Europe; a common garden annual; frequently escaping.","","","","Dianthus armeria","Caryophyllaceae"
"391","saanich","Dianthus deltoides",1,"Native of Europe; commonly grown in gardens; an occasional escapee.","","","","Dianthus deltoides","Caryophyllaceae"
"392","saanich","Dicentra formosa",1,"Moist, shady woods; occasional throughout.","","","","Dicentra formosa","Papaveraceae"
"393","saanich","Dichanthelium acuminatum",1,"MCM Saanich collection at V. location? AC Gowland Todd Park 1977. Ryan Mt Finlayson 1993. HLR Mt McDonald, just outside area 1993.","","","","Dichanthelium acuminatum","Poaceae"
"394","saanich","Dichanthelium oligosanthes ssp. scribnerianum",1,"A&O Ceska Sidney Island 1981.","","","","Dichanthelium scribnerianum","Poaceae"
