Scientific,Group,Date,Zone,Zone_Description,Latitude,Longitude,Source,Curator_Notes
Helvella compressa,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Inocybe sp.,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Laccaria laccata,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Marasmius oreades,Fungi,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Picipes badius,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Pleurotus ostreatus,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Pleurotus ostreatus,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Pluteus cervinus,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Poriella subacida,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Rhodofomes cajanderi,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Trametes hirsuta,Fungi,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Trametes versicolor,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Trichaptum abietinum,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Tricholoma sp.,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Celastrina echo,Insects,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Anthocharis julia flora,Insects,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bombus spp.,Insects,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cantharis sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Catocala aholibah,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cerambycidae,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cicadellidae,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cinara sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cycloneda sanguinea,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Dalopius sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Ditula angustiorana,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Elasmostethus cruciatus,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Erynnis propertius,Insects,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Forficula auricularia,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Formica sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Gyrinidae,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hadromorphus callidus,Insects,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Lophocampa sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Lophocampa argentata,Insects,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Marmara arbutiella,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Mulsantina picta,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Orthosia pacifica,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Platycotis vittata,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Plectrura spinicauda,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Podabrus sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Pseudohylesinus sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Psocidae,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Psyllobora borealis,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Syrphidae,Insects,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Tipula sp.,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vrilletta decorata,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Ypsolopha cervella,Insects,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Xanthoria candelaria,Lichens,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Caloplaca sp.,Lichens,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Graphis scripta,Lichens,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hypogymnia inactiva,Lichens,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hypogymnia inactiva,Lichens,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Lichenomphalia umbellifera,Lichens,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Lobaria pulmonaria,Lichens,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Ochrolechia laevigata,Lichens,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Peltigera neopolydactyla,Lichens,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Usnea sp.,Lichens,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Verrucaria sp.,Lichens,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Lontra canadensis,Mammals,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Neogale vison,Mammals,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Neogale vison,Mammals,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Odocoileus hemionus columbianus,Mammals,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Odocoileus hemionus columbianus,Mammals,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Phoca vitulina,Mammals,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Tamiasciurus hudsonicus,Mammals,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Tamiasciurus hudsonicus,Mammals,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Clinocardium nuttalli,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Diodora aspera,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Leukoma staminea,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Littorina scutulata,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Lottia digitalis,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Lottia pelta,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Lottia persona,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Macoma nasuta,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Mopalia muscosa,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Mytilus complex,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Neverita lewisii,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Nucella ostrina,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Nucella sp.,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Nuttallia obscurata,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Ruditapes philippinarum,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Saxidomus gigantea,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Tresus nuttallii,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pododesmus macrochisma,Marine molluscs,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Dicranum fuscescens,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomiadelphus triquetrus,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomiadelphus triquetrus,Mosses,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomiadelphus triquetrus,Mosses,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomium splendens,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomium splendens,Mosses,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hylocomium splendens,Mosses,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Kindbergia oregana,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Leucolepis acanthoneura,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Leucolepis acanthoneura,Mosses,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Plagiomnium insigne,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Polytrichum juniperinum,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Rhizomnium glabrescens,Mosses,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Abies grandis,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Acer macrophyllum,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Acer macrophyllum,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Acer macrophyllum,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Achillea millefolium,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Achlys triphylla,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Achlys triphylla,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Acmispon parviflorus,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Adenocaulon bicolor,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Adenocaulon bicolor,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Agoseris sp.,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Aira praecox,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Ajuga reptans,Plants,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Allium cernuum,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Alnus rubra,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Alnus rubra,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Alnus rubra,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Alnus rubra,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Amelanchier alnifolia,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Amelanchier alnifolia,Plants,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Amsinckia sp.,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Anthoxanthum odoratum,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Aphanes sp.,Plants,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Aphyllon purpureum,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arbutus menziesii,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arbutus menziesii,Plants,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arbutus menziesii,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arbutus menziesii,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arbutus menziesii,Plants,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Arctostaphylos uva-ursi,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Asparagus sp.,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Asplenium trichomanes,Plants,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Athyrium filix-femina,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bellis perennis,Plants,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bellis perennis,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bellis perennis,Plants,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bellis perennis,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bellis perennis,Plants,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis aquifolium,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis aquifolium,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis nervosa,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis nervosa,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis nervosa,Plants,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis nervosa,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Berberis nervosa,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bromus sitchensis,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Bromus tectorum,Plants,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Calypso bulbosa,Plants,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Camassia sp.,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Capsella bursa-pastoris,Plants,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cardamine occidentalis,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,! Potentially remarkable report; possible but otherwise not reported for Galiano Island
Cardamine oligosperma,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cardamine oligosperma,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cardamine sp.,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Carex sp.,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Castilleja hispida,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Castilleja miniata,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,! Potentially remarkable report; possible but otherwise not reported for Galiano Island
Cerastium arvense,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cerastium sp.,Plants,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cerastium sp.,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Circaea alpina,Plants,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cirsium sp.,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cirsium arvense,Plants,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cirsium sp.,Plants,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cirsium vulgare,Plants,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Claytonia perfoliata,Plants,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Claytonia perfoliata,Plants,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Claytonia perfoliata,Plants,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
